"DateTime","Total Daily Block Mining Reward [Ether]"
"2016-10-18 00:00:00",30713
"2016-10-19 00:00:00",29054
"2016-10-20 00:00:00",31622
"2016-10-21 00:00:00",30558
"2016-10-22 00:00:00",30271
"2016-10-23 00:00:00",30026
"2016-10-24 00:00:00",30401
"2016-10-25 00:00:00",30206
"2016-10-26 00:00:00",30545
"2016-10-27 00:00:00",30150
"2016-10-28 00:00:00",29775
"2016-10-29 00:00:00",28396
"2016-10-30 00:00:00",30368
"2016-10-31 00:00:00",30528
"2016-11-01 00:00:00",29252
"2016-11-02 00:00:00",29820
"2016-11-03 00:00:00",29814
"2016-11-04 00:00:00",29581
"2016-11-05 00:00:00",30043
"2016-11-06 00:00:00",30336
"2016-11-07 00:00:00",31648
"2016-11-08 00:00:00",30862
"2016-11-09 00:00:00",29680
"2016-11-10 00:00:00",29890
"2016-11-11 00:00:00",30020
"2016-11-12 00:00:00",30496
"2016-11-13 00:00:00",31077
"2016-11-14 00:00:00",30402
"2016-11-15 00:00:00",30091
"2016-11-16 00:00:00",30284
"2016-11-17 00:00:00",29405
"2016-11-18 00:00:00",31518
"2016-11-19 00:00:00",30817
"2016-11-20 00:00:00",30961
"2016-11-21 00:00:00",30427
"2016-11-22 00:00:00",29676
"2016-11-23 00:00:00",29328
"2016-11-24 00:00:00",29694
"2016-11-25 00:00:00",30685
"2016-11-26 00:00:00",29812
"2016-11-27 00:00:00",29898
"2016-11-28 00:00:00",30372
"2016-11-29 00:00:00",30072
"2016-11-30 00:00:00",30373
"2016-12-01 00:00:00",30350
"2016-12-02 00:00:00",30438
"2016-12-03 00:00:00",30858
"2016-12-04 00:00:00",29971
"2016-12-05 00:00:00",30074
"2016-12-06 00:00:00",30511
"2016-12-07 00:00:00",30424
"2016-12-08 00:00:00",30690
"2016-12-09 00:00:00",30312
"2016-12-10 00:00:00",30433
"2016-12-11 00:00:00",30547
"2016-12-12 00:00:00",30055
"2016-12-13 00:00:00",30414
"2016-12-14 00:00:00",30464
"2016-12-15 00:00:00",30065
"2016-12-16 00:00:00",30435
"2016-12-17 00:00:00",30642
"2016-12-18 00:00:00",30542
"2016-12-19 00:00:00",30218
"2016-12-20 00:00:00",30403
"2016-12-21 00:00:00",30405
"2016-12-22 00:00:00",29837
"2016-12-23 00:00:00",29829
"2016-12-24 00:00:00",30087
"2016-12-25 00:00:00",30696
"2016-12-26 00:00:00",30388
"2016-12-27 00:00:00",30044
"2016-12-28 00:00:00",30337
"2016-12-29 00:00:00",30472
"2016-12-30 00:00:00",30375
"2016-12-31 00:00:00",30021
"2017-01-01 00:00:00",30608
"2017-01-02 00:00:00",30345
"2017-01-03 00:00:00",30235
"2017-01-04 00:00:00",30766
"2017-01-05 00:00:00",30515
"2017-01-06 00:00:00",30103
"2017-01-07 00:00:00",30601
"2017-01-08 00:00:00",30428
"2017-01-09 00:00:00",30469
"2017-01-10 00:00:00",30204
"2017-01-11 00:00:00",30292
"2017-01-12 00:00:00",30337
"2017-01-13 00:00:00",30584
"2017-01-14 00:00:00",30386
"2017-01-15 00:00:00",30483
"2017-01-16 00:00:00",30317
"2017-01-17 00:00:00",30068
"2017-01-18 00:00:00",30382
"2017-01-19 00:00:00",30850
"2017-01-20 00:00:00",29874
"2017-01-21 00:00:00",30288
"2017-01-22 00:00:00",30380
"2017-01-23 00:00:00",30295
"2017-01-24 00:00:00",30240
"2017-01-25 00:00:00",30110
"2017-01-26 00:00:00",30467
"2017-01-27 00:00:00",29977
"2017-01-28 00:00:00",30369
"2017-01-29 00:00:00",29858
"2017-01-30 00:00:00",30533
"2017-01-31 00:00:00",30148
"2017-02-01 00:00:00",30102
"2017-02-02 00:00:00",30287
"2017-02-03 00:00:00",30008
"2017-02-04 00:00:00",30450
"2017-02-05 00:00:00",30438
"2017-02-06 00:00:00",30310
"2017-02-07 00:00:00",30055
"2017-02-08 00:00:00",30395
"2017-02-09 00:00:00",30200
"2017-02-10 00:00:00",30256
"2017-02-11 00:00:00",30250
"2017-02-12 00:00:00",30351
"2017-02-13 00:00:00",30410
"2017-02-14 00:00:00",30174
"2017-02-15 00:00:00",30501
"2017-02-16 00:00:00",30315
"2017-02-17 00:00:00",30115
"2017-02-18 00:00:00",30049
"2017-02-19 00:00:00",30146
"2017-02-20 00:00:00",30132
"2017-02-21 00:00:00",30310
"2017-02-22 00:00:00",29890
"2017-02-23 00:00:00",30145
"2017-02-24 00:00:00",30107
"2017-02-25 00:00:00",30254
"2017-02-26 00:00:00",30505
"2017-02-27 00:00:00",29996
"2017-02-28 00:00:00",30592
"2017-03-01 00:00:00",29849
"2017-03-02 00:00:00",30363
"2017-03-03 00:00:00",30085
"2017-03-04 00:00:00",29980
"2017-03-05 00:00:00",30418
"2017-03-06 00:00:00",29941
"2017-03-07 00:00:00",29943
"2017-03-08 00:00:00",30135
"2017-03-09 00:00:00",29691
"2017-03-10 00:00:00",29820
"2017-03-11 00:00:00",30064
"2017-03-12 00:00:00",29651
"2017-03-13 00:00:00",30263
"2017-03-14 00:00:00",29869
"2017-03-15 00:00:00",29994
"2017-03-16 00:00:00",30016
"2017-03-17 00:00:00",30302
"2017-03-18 00:00:00",30023
"2017-03-19 00:00:00",29805
"2017-03-20 00:00:00",30388
"2017-03-21 00:00:00",29839
"2017-03-22 00:00:00",30100
"2017-03-23 00:00:00",29633
"2017-03-24 00:00:00",29622
"2017-03-25 00:00:00",29865
"2017-03-26 00:00:00",29960
"2017-03-27 00:00:00",29810
"2017-03-28 00:00:00",29546
"2017-03-29 00:00:00",29998
"2017-03-30 00:00:00",29605
"2017-03-31 00:00:00",29914
