"DateTime","Uncles"
"2017-05-29 00:00:00",447
"2017-05-30 00:00:00",524
"2017-05-31 00:00:00",458
"2017-06-01 00:00:00",460
"2017-06-02 00:00:00",372
"2017-06-03 00:00:00",406
"2017-06-04 00:00:00",387
"2017-06-05 00:00:00",412
"2017-06-06 00:00:00",387
"2017-06-07 00:00:00",425
"2017-06-08 00:00:00",432
"2017-06-09 00:00:00",424
"2017-06-10 00:00:00",400
"2017-06-11 00:00:00",451
"2017-06-12 00:00:00",508
"2017-06-13 00:00:00",515
"2017-06-14 00:00:00",480
"2017-06-15 00:00:00",452
"2017-06-16 00:00:00",450
"2017-06-17 00:00:00",506
"2017-06-18 00:00:00",488
"2017-06-19 00:00:00",523
"2017-06-20 00:00:00",501
"2017-06-21 00:00:00",448
"2017-06-22 00:00:00",477
"2017-06-23 00:00:00",436
"2017-06-24 00:00:00",476
"2017-06-25 00:00:00",460
"2017-06-26 00:00:00",498
"2017-06-27 00:00:00",415
"2017-06-28 00:00:00",490
"2017-06-29 00:00:00",496
"2017-06-30 00:00:00",444
"2017-07-01 00:00:00",437
"2017-07-02 00:00:00",406
"2017-07-03 00:00:00",492
"2017-07-04 00:00:00",521
"2017-07-05 00:00:00",490
"2017-07-06 00:00:00",450
"2017-07-07 00:00:00",499
"2017-07-08 00:00:00",434
"2017-07-09 00:00:00",396
"2017-07-10 00:00:00",387
"2017-07-11 00:00:00",364
"2017-07-12 00:00:00",368
"2017-07-13 00:00:00",321
"2017-07-14 00:00:00",332
"2017-07-15 00:00:00",304
"2017-07-16 00:00:00",302
"2017-07-17 00:00:00",325
"2017-07-18 00:00:00",317
"2017-07-19 00:00:00",347
"2017-07-20 00:00:00",358
"2017-07-21 00:00:00",302
"2017-07-22 00:00:00",283
"2017-07-23 00:00:00",313
"2017-07-24 00:00:00",301
"2017-07-25 00:00:00",333
"2017-07-26 00:00:00",337
"2017-07-27 00:00:00",308
"2017-07-28 00:00:00",381
"2017-07-29 00:00:00",284
"2017-07-30 00:00:00",317
"2017-07-31 00:00:00",363
"2017-08-01 00:00:00",260
"2017-08-02 00:00:00",241
"2017-08-03 00:00:00",282
"2017-08-04 00:00:00",292
"2017-08-05 00:00:00",269
"2017-08-06 00:00:00",292
"2017-08-07 00:00:00",298
"2017-08-08 00:00:00",306
"2017-08-09 00:00:00",305
"2017-08-10 00:00:00",339
"2017-08-11 00:00:00",353
"2017-08-12 00:00:00",343
"2017-08-13 00:00:00",349
"2017-08-14 00:00:00",344
"2017-08-15 00:00:00",393
"2017-08-16 00:00:00",436
"2017-08-17 00:00:00",455
"2017-08-18 00:00:00",407
"2017-08-19 00:00:00",380
"2017-08-20 00:00:00",340
"2017-08-21 00:00:00",401
"2017-08-22 00:00:00",410
"2017-08-23 00:00:00",391
"2017-08-24 00:00:00",412
"2017-08-25 00:00:00",268
"2017-08-26 00:00:00",270
"2017-08-27 00:00:00",270
"2017-08-28 00:00:00",303
"2017-08-29 00:00:00",349
"2017-08-30 00:00:00",329
"2017-08-31 00:00:00",348
"2017-09-01 00:00:00",307
"2017-09-02 00:00:00",288
"2017-09-03 00:00:00",241
"2017-09-04 00:00:00",323
"2017-09-05 00:00:00",332
"2017-09-06 00:00:00",345
"2017-09-07 00:00:00",354
"2017-09-08 00:00:00",330
"2017-09-09 00:00:00",312
"2017-09-10 00:00:00",292
"2017-09-11 00:00:00",279
"2017-09-12 00:00:00",328
"2017-09-13 00:00:00",313
"2017-09-14 00:00:00",330
"2017-09-15 00:00:00",373
"2017-09-16 00:00:00",331
"2017-09-17 00:00:00",274
"2017-09-18 00:00:00",331
"2017-09-19 00:00:00",315
"2017-09-20 00:00:00",298
"2017-09-21 00:00:00",284
"2017-09-22 00:00:00",187
"2017-09-23 00:00:00",149
"2017-09-24 00:00:00",193
"2017-09-25 00:00:00",176
"2017-09-26 00:00:00",192
"2017-09-27 00:00:00",227
"2017-09-28 00:00:00",183
"2017-09-29 00:00:00",184
"2017-09-30 00:00:00",189
"2017-10-01 00:00:00",209
