"DateTime","Gas Limit"
"2016-07-30 00:00:00",4709856.474502591
"2016-07-31 00:00:00",4710023.5043954225
"2016-08-01 00:00:00",4710046.33987586
"2016-08-02 00:00:00",4709905.110451306
"2016-08-03 00:00:00",4709684.137867647
"2016-08-04 00:00:00",4709621.5227713175
"2016-08-05 00:00:00",4709949.609892827
"2016-08-06 00:00:00",4709908.669287387
"2016-08-07 00:00:00",4709988.837748889
"2016-08-08 00:00:00",4709889.068493151
"2016-08-09 00:00:00",4710068.702610115
"2016-08-10 00:00:00",4709875.398579451
"2016-08-11 00:00:00",4710043.28444298
"2016-08-12 00:00:00",4709842.488859328
"2016-08-13 00:00:00",4709986.977122016
"2016-08-14 00:00:00",4709919.182134571
"2016-08-15 00:00:00",4709949.148440066
"2016-08-16 00:00:00",4709896.831351173
"2016-08-17 00:00:00",4709477.262273257
"2016-08-18 00:00:00",4708958.134918033
"2016-08-19 00:00:00",4708654.61107416
"2016-08-20 00:00:00",4708484.769942196
"2016-08-21 00:00:00",4708534.918639054
"2016-08-22 00:00:00",4708472.0480421195
"2016-08-23 00:00:00",4708342.83358271
"2016-08-24 00:00:00",4708470.1906492645
"2016-08-25 00:00:00",4707993.243025927
"2016-08-26 00:00:00",4708489.8238428235
"2016-08-27 00:00:00",4708291.102863726
"2016-08-28 00:00:00",4708167.201325601
"2016-08-29 00:00:00",4708494.562188228
"2016-08-30 00:00:00",4708290.388483239
"2016-08-31 00:00:00",4708133.778198584
"2016-09-01 00:00:00",4708191.360160294
"2016-09-02 00:00:00",4708248.005256242
"2016-09-03 00:00:00",4708347.684652883
"2016-09-04 00:00:00",4708419.128175328
"2016-09-05 00:00:00",4708493.462146149
"2016-09-06 00:00:00",4708324.9676289
"2016-09-07 00:00:00",4708530.134847989
"2016-09-08 00:00:00",4708435.73287899
"2016-09-09 00:00:00",4708391.420974646
"2016-09-10 00:00:00",4708470.205534256
"2016-09-11 00:00:00",4708352.0635155095
"2016-09-12 00:00:00",4708217.35329045
"2016-09-13 00:00:00",4708438.387806097
"2016-09-14 00:00:00",4708254.437694959
"2016-09-15 00:00:00",4708172.54899685
"2016-09-16 00:00:00",4708139.421599341
"2016-09-17 00:00:00",4708230.023494375
"2016-09-18 00:00:00",4706352.273311897
"2016-09-19 00:00:00",4700174.024652832
"2016-09-20 00:00:00",4700303.898978434
"2016-09-21 00:00:00",4701346.330089079
"2016-09-22 00:00:00",3698398.2713191784
"2016-09-23 00:00:00",1002697.7679087697
"2016-09-24 00:00:00",1164061.3823379276
"2016-09-25 00:00:00",1498952.9395244934
"2016-09-26 00:00:00",1499384.2435392777
"2016-09-27 00:00:00",1499611.0764909962
"2016-09-28 00:00:00",1499630.7487717
"2016-09-29 00:00:00",1499594.5050603983
"2016-09-30 00:00:00",1499424.063581891
"2016-10-01 00:00:00",1499867.0508650518
"2016-10-02 00:00:00",1499126.1994067237
"2016-10-03 00:00:00",1498947.6460348163
"2016-10-04 00:00:00",1498452.757610663
"2016-10-05 00:00:00",1497837.97885508
"2016-10-06 00:00:00",1497714.1130522427
"2016-10-07 00:00:00",1494422.487684729
"2016-10-08 00:00:00",1497042.9570967741
"2016-10-09 00:00:00",1496934.610348818
"2016-10-10 00:00:00",1495276.3865254098
"2016-10-11 00:00:00",1495121.2352066115
"2016-10-12 00:00:00",1495953.545177665
"2016-10-13 00:00:00",1496248.9941118744
"2016-10-14 00:00:00",1181176.3796677084
"2016-10-15 00:00:00",500437.75294508046
"2016-10-16 00:00:00",500438.17621800164
