"DateTime","Market Cap [USD]"
"2016-07-13 00:00:00",855650395.9575
"2016-07-14 00:00:00",946992134.1890625
"2016-07-15 00:00:00",974427842.39625
"2016-07-16 00:00:00",951014159.88875
"2016-07-17 00:00:00",918547861.9153125
"2016-07-18 00:00:00",905772477.2790625
"2016-07-19 00:00:00",955413402.765
"2016-07-20 00:00:00",1030570811.510625
"2016-07-21 00:00:00",1040847775.426875
"2016-07-22 00:00:00",1218902832.931875
"2016-07-23 00:00:00",1184825515.95
"2016-07-24 00:00:00",1039588257.9853125
"2016-07-25 00:00:00",1139627362.6325
"2016-07-26 00:00:00",995075443.9775
"2016-07-27 00:00:00",1075407863.6109376
"2016-07-28 00:00:00",1060991050.494375
"2016-07-29 00:00:00",1061402110.250625
"2016-07-30 00:00:00",1037058538.7240624
"2016-07-31 00:00:00",978863767.97375
"2016-08-01 00:00:00",911533961.97
"2016-08-02 00:00:00",685562048.915625
"2016-08-03 00:00:00",860999857.5975
"2016-08-04 00:00:00",926645478.076875
"2016-08-05 00:00:00",913775658.3921875
"2016-08-06 00:00:00",905852104.209375
"2016-08-07 00:00:00",908688447.005625
"2016-08-08 00:00:00",934706851.6434375
"2016-08-09 00:00:00",1012101373.66
"2016-08-10 00:00:00",1012494405.138125
"2016-08-11 00:00:00",968128579.09
"2016-08-12 00:00:00",976795527.824375
"2016-08-13 00:00:00",958923073.88
"2016-08-14 00:00:00",930248307.2690625
"2016-08-15 00:00:00",930610714.308125
"2016-08-16 00:00:00",927647924.86
"2016-08-17 00:00:00",894773242.7615625
"2016-08-18 00:00:00",895126380.9646875
"2016-08-19 00:00:00",890480625.93
"2016-08-20 00:00:00",938236770.09
"2016-08-21 00:00:00",926956180.191875
"2016-08-22 00:00:00",921488981.8584375
"2016-08-23 00:00:00",916848806.439375
"2016-08-24 00:00:00",917204136.98625
"2016-08-25 00:00:00",945893073.1125
"2016-08-26 00:00:00",938751471.439375
"2016-08-27 00:00:00",933277047.354375
"2016-08-28 00:00:00",916948479.8184375
"2016-08-29 00:00:00",913960681.865625
"2016-08-30 00:00:00",936019348.3878125
"2016-08-31 00:00:00",964780027.509375
