"DateTime","Accounts"
"2016-06-09 00:00:00",294707
"2016-06-10 00:00:00",297274
"2016-06-11 00:00:00",299792
"2016-06-12 00:00:00",302701
"2016-06-13 00:00:00",307665
"2016-06-14 00:00:00",311930
"2016-06-15 00:00:00",314922
"2016-06-16 00:00:00",320455
"2016-06-17 00:00:00",334600
"2016-06-18 00:00:00",349334
"2016-06-19 00:00:00",355885
"2016-06-20 00:00:00",361622
"2016-06-21 00:00:00",366033
"2016-06-22 00:00:00",371794
"2016-06-23 00:00:00",375326
"2016-06-24 00:00:00",379129
"2016-06-25 00:00:00",381484
"2016-06-26 00:00:00",383917
"2016-06-27 00:00:00",386578
"2016-06-28 00:00:00",389944
"2016-06-29 00:00:00",392868
"2016-06-30 00:00:00",394978
"2016-07-01 00:00:00",397954
"2016-07-02 00:00:00",400524
"2016-07-03 00:00:00",403802
"2016-07-04 00:00:00",406659
"2016-07-05 00:00:00",410564
"2016-07-06 00:00:00",413634
"2016-07-07 00:00:00",416766
"2016-07-08 00:00:00",419873
"2016-07-09 00:00:00",423891
"2016-07-10 00:00:00",427011
"2016-07-11 00:00:00",429571
"2016-07-12 00:00:00",433227
"2016-07-13 00:00:00",436055
"2016-07-14 00:00:00",439194
"2016-07-15 00:00:00",442688
"2016-07-16 00:00:00",444924
"2016-07-17 00:00:00",446407
"2016-07-18 00:00:00",448902
"2016-07-19 00:00:00",451841
"2016-07-20 00:00:00",456617
"2016-07-21 00:00:00",460026
"2016-07-22 00:00:00",464474
"2016-07-23 00:00:00",468273
"2016-07-24 00:00:00",472125
"2016-07-25 00:00:00",476675
"2016-07-26 00:00:00",482029
"2016-07-27 00:00:00",487723
"2016-07-28 00:00:00",491247
"2016-07-29 00:00:00",496205
"2016-07-30 00:00:00",498620
"2016-07-31 00:00:00",501268
"2016-08-01 00:00:00",504014
"2016-08-02 00:00:00",507930
"2016-08-03 00:00:00",511207
"2016-08-04 00:00:00",514155
"2016-08-05 00:00:00",516523
"2016-08-06 00:00:00",518460
"2016-08-07 00:00:00",520389
"2016-08-08 00:00:00",522771
"2016-08-09 00:00:00",526043
"2016-08-10 00:00:00",528997
"2016-08-11 00:00:00",531648
"2016-08-12 00:00:00",533988
"2016-08-13 00:00:00",535776
"2016-08-14 00:00:00",537479
"2016-08-15 00:00:00",539226
"2016-08-16 00:00:00",541090
"2016-08-17 00:00:00",542903
"2016-08-18 00:00:00",544760
"2016-08-19 00:00:00",546465
"2016-08-20 00:00:00",548252
"2016-08-21 00:00:00",550380
"2016-08-22 00:00:00",552053
"2016-08-23 00:00:00",554768
"2016-08-24 00:00:00",556706
"2016-08-25 00:00:00",558957
"2016-08-26 00:00:00",560934
"2016-08-27 00:00:00",562422
"2016-08-28 00:00:00",564059
"2016-08-29 00:00:00",565932
"2016-08-30 00:00:00",567869
"2016-08-31 00:00:00",569976
"2016-09-01 00:00:00",572385
"2016-09-02 00:00:00",574500
"2016-09-03 00:00:00",576382
"2016-09-04 00:00:00",578315
"2016-09-05 00:00:00",580110
"2016-09-06 00:00:00",582108
"2016-09-07 00:00:00",583972
"2016-09-08 00:00:00",586257
"2016-09-09 00:00:00",588428
"2016-09-10 00:00:00",590442
"2016-09-11 00:00:00",592249
"2016-09-12 00:00:00",594808
"2016-09-13 00:00:00",596859
"2016-09-14 00:00:00",598825
"2016-09-15 00:00:00",600732
"2016-09-16 00:00:00",602631
"2016-09-17 00:00:00",604505
"2016-09-18 00:00:00",606189
"2016-09-19 00:00:00",607231
"2016-09-20 00:00:00",609764
"2016-09-21 00:00:00",612826
"2016-09-22 00:00:00",614642
"2016-09-23 00:00:00",616253
"2016-09-24 00:00:00",617909
"2016-09-25 00:00:00",620071
"2016-09-26 00:00:00",621912
"2016-09-27 00:00:00",623810
"2016-09-28 00:00:00",625687
"2016-09-29 00:00:00",629724
"2016-09-30 00:00:00",632082
"2016-10-01 00:00:00",633995
"2016-10-02 00:00:00",636171
"2016-10-03 00:00:00",638540
"2016-10-04 00:00:00",662681
"2016-10-05 00:00:00",665147
"2016-10-06 00:00:00",667843
"2016-10-07 00:00:00",670197
"2016-10-08 00:00:00",673349
"2016-10-09 00:00:00",676126
"2016-10-10 00:00:00",680107
"2016-10-11 00:00:00",682342
"2016-10-12 00:00:00",683720
"2016-10-13 00:00:00",684596
"2016-10-14 00:00:00",685939
"2016-10-15 00:00:00",687172
"2016-10-16 00:00:00",688631
"2016-10-17 00:00:00",690046
"2016-10-18 00:00:00",692017
"2016-10-19 00:00:00",693560
"2016-10-20 00:00:00",695148
"2016-10-21 00:00:00",696652
"2016-10-22 00:00:00",698384
"2016-10-23 00:00:00",699727
"2016-10-24 00:00:00",701362
"2016-10-25 00:00:00",704452
"2016-10-26 00:00:00",706434
"2016-10-27 00:00:00",708299
"2016-10-28 00:00:00",710620
"2016-10-29 00:00:00",712444
"2016-10-30 00:00:00",714259
"2016-10-31 00:00:00",716109
"2016-11-01 00:00:00",718401
"2016-11-02 00:00:00",723389
"2016-11-03 00:00:00",725376
"2016-11-04 00:00:00",727004
"2016-11-05 00:00:00",728539
"2016-11-06 00:00:00",730226
"2016-11-07 00:00:00",732034
"2016-11-08 00:00:00",734067
"2016-11-09 00:00:00",736537
"2016-11-10 00:00:00",738512
"2016-11-11 00:00:00",740747
"2016-11-12 00:00:00",742565
"2016-11-13 00:00:00",744958
"2016-11-14 00:00:00",746808
"2016-11-15 00:00:00",748916
"2016-11-16 00:00:00",750780
"2016-11-17 00:00:00",752586
"2016-11-18 00:00:00",754637
"2016-11-19 00:00:00",756205
"2016-11-20 00:00:00",757872
"2016-11-21 00:00:00",760035
"2016-11-22 00:00:00",761640
"2016-11-23 00:00:00",763302
"2016-11-24 00:00:00",764959
"2016-11-25 00:00:00",785483
"2016-11-26 00:00:00",788630
"2016-11-27 00:00:00",791454
"2016-11-28 00:00:00",793168
"2016-11-29 00:00:00",794930
"2016-11-30 00:00:00",921827
"2016-12-01 00:00:00",923481
"2016-12-02 00:00:00",926721
"2016-12-03 00:00:00",933110
"2016-12-04 00:00:00",938669
"2016-12-05 00:00:00",945380
"2016-12-06 00:00:00",947961
"2016-12-07 00:00:00",949847
"2016-12-08 00:00:00",951537
"2016-12-09 00:00:00",953347
"2016-12-10 00:00:00",956730
"2016-12-11 00:00:00",959415
"2016-12-12 00:00:00",961145
"2016-12-13 00:00:00",962741
"2016-12-14 00:00:00",965975
"2016-12-15 00:00:00",969741
"2016-12-16 00:00:00",971623
"2016-12-17 00:00:00",974718
"2016-12-18 00:00:00",976787
"2016-12-19 00:00:00",978890
"2016-12-20 00:00:00",981229
"2016-12-21 00:00:00",983130
"2016-12-22 00:00:00",991905
"2016-12-23 00:00:00",996053
"2016-12-24 00:00:00",997821
"2016-12-25 00:00:00",999133
"2016-12-26 00:00:00",1000546
"2016-12-27 00:00:00",1002253
"2016-12-28 00:00:00",1004270
"2016-12-29 00:00:00",1006883
"2016-12-30 00:00:00",1009307
"2016-12-31 00:00:00",1012271
"2017-01-01 00:00:00",1013878
"2017-01-02 00:00:00",1016129
"2017-01-03 00:00:00",1018786
"2017-01-04 00:00:00",1022311
"2017-01-05 00:00:00",1025627
"2017-01-06 00:00:00",1028937
"2017-01-07 00:00:00",1031564
"2017-01-08 00:00:00",1033767
"2017-01-09 00:00:00",1036190
"2017-01-10 00:00:00",1038506
"2017-01-11 00:00:00",1040784
"2017-01-12 00:00:00",1044407
"2017-01-13 00:00:00",1048036
"2017-01-14 00:00:00",1051479
"2017-01-15 00:00:00",1053908
"2017-01-16 00:00:00",1056319
"2017-01-17 00:00:00",1059027
"2017-01-18 00:00:00",1061624
"2017-01-19 00:00:00",1064142
"2017-01-20 00:00:00",1067264
"2017-01-21 00:00:00",1069643
"2017-01-22 00:00:00",1072280
"2017-01-23 00:00:00",1074984
"2017-01-24 00:00:00",1077396
"2017-01-25 00:00:00",1079821
"2017-01-26 00:00:00",1082964
"2017-01-27 00:00:00",1085352
"2017-01-28 00:00:00",1088036
"2017-01-29 00:00:00",1090163
"2017-01-30 00:00:00",1092793
"2017-01-31 00:00:00",1094551
"2017-02-01 00:00:00",1096539
"2017-02-02 00:00:00",1098511
"2017-02-03 00:00:00",1100323
"2017-02-04 00:00:00",1102538
"2017-02-05 00:00:00",1104324
