"DateTime","Gas Usage"
"2016-02-09 00:00:00",90890.56300692384
"2016-02-10 00:00:00",98813.17718201976
"2016-02-11 00:00:00",135899.82426778242
"2016-02-12 00:00:00",107465.55652692232
"2016-02-13 00:00:00",124540.98920086393
"2016-02-14 00:00:00",103116.76553106212
"2016-02-15 00:00:00",109704.49849246231
"2016-02-16 00:00:00",117306.48815920397
"2016-02-17 00:00:00",149175.6429894997
"2016-02-18 00:00:00",107677.94918983796
"2016-02-19 00:00:00",130420.58156169283
"2016-02-20 00:00:00",98886.87903385468
"2016-02-21 00:00:00",100478.44154302671
"2016-02-22 00:00:00",108642.40035273369
"2016-02-23 00:00:00",312509.3767357617
"2016-02-24 00:00:00",177619.0662159475
"2016-02-25 00:00:00",110821.40639625584
"2016-02-26 00:00:00",190232.30504451037
"2016-02-27 00:00:00",106764.77223557692
"2016-02-28 00:00:00",104201.31616623583
"2016-02-29 00:00:00",120983.68568464731
"2016-03-01 00:00:00",116567.27830562154
"2016-03-02 00:00:00",119952.24990169091
"2016-03-03 00:00:00",132592.54068607898
"2016-03-04 00:00:00",137000.92190628755
"2016-03-05 00:00:00",160191.44453094588
"2016-03-06 00:00:00",171176.21846341962
"2016-03-07 00:00:00",132435.64106645444
"2016-03-08 00:00:00",144426.21646402232
"2016-03-09 00:00:00",144747.4692323111
"2016-03-10 00:00:00",132577.21747498075
"2016-03-11 00:00:00",127710.12082922013
"2016-03-12 00:00:00",159812.38283894086
"2016-03-13 00:00:00",161657.98534516004
"2016-03-14 00:00:00",187200.86609240406
"2016-03-15 00:00:00",151040.56581368123
"2016-03-16 00:00:00",148119.57427385892
"2016-03-17 00:00:00",169086.95116737916
"2016-03-18 00:00:00",158406.17141898692
"2016-03-19 00:00:00",207195.8510358435
"2016-03-20 00:00:00",191987.70615563297
"2016-03-21 00:00:00",185177.36052719387
"2016-03-22 00:00:00",184770.59775984188
"2016-03-23 00:00:00",205154.72012052225
"2016-03-24 00:00:00",266535.58514997544
"2016-03-25 00:00:00",216288.8819650511
"2016-03-26 00:00:00",218625.78572600492
"2016-03-27 00:00:00",136558.4130003308
"2016-03-28 00:00:00",197472.24020670113
"2016-03-29 00:00:00",163051.1485856905
"2016-03-30 00:00:00",218734.05903753926
"2016-03-31 00:00:00",179938.28948679622
"2016-04-01 00:00:00",178684.89475415228
"2016-04-02 00:00:00",133165.47826819407
"2016-04-03 00:00:00",132890.7971830986
"2016-04-04 00:00:00",183690.7090042721
"2016-04-05 00:00:00",212660.50754185315
"2016-04-06 00:00:00",157662.07345103266
"2016-04-07 00:00:00",160839.2946413573
"2016-04-08 00:00:00",183703.72418879057
"2016-04-09 00:00:00",148823.50918590932
"2016-04-10 00:00:00",139092.20181368507
"2016-04-11 00:00:00",136361.32457470102
"2016-04-12 00:00:00",170561.9331670823
"2016-04-13 00:00:00",207561.23391521198
