bitcoin 	https://www. rt.com/business/41409 3-keiser-rasmus-bitcoin-debate/ …	maxkeiser	293	102	2017-12-24 22:56:16	945050520594669569	https://twitter.com/maxkeiser/status/945050520594669569			
	Easy solution for you. Go invest in a coin where the creator is financially invested.	SatoshiLite	69	0	2017-12-24 04:53:33	944778044031451136	https://twitter.com/SatoshiLite/status/944778044031451136			
	Fine. Feel free to unfollow.	SatoshiLite	18	0	2017-12-24 04:21:14	944769913364799488	https://twitter.com/SatoshiLite/status/944769913364799488			
	Yeah, go ahead and blame me for that.	SatoshiLite	152	7	2017-12-24 04:08:39	944766744610013190	https://twitter.com/SatoshiLite/status/944766744610013190			
	I've donated and will donate more. Or do I need to share it with you for you to be happy?	SatoshiLite	16	0	2017-12-24 03:56:06	944763584965255168	https://twitter.com/SatoshiLite/status/944763584965255168			
	If you followed my tweets, you would see that I thought Coinbase would not launch Bcash trading due to operational complexity and market confusion. So yes, I did not approve, but I don't work there anymore. I don't have a say and didnt know they were going to do that.	SatoshiLite	65	6	2017-12-24 03:45:28	944760909221601280	https://twitter.com/SatoshiLite/status/944760909221601280			
	What are you accusing of Coinbase of doing?	SatoshiLite	5	0	2017-12-24 03:43:49	944760493914206209	https://twitter.com/SatoshiLite/status/944760493914206209			
litecoin 	You're the ridiculous one. I've already stated that my motivation is not financial. If Litecoin succeed, don't you think as the creator I get a lot of recognition. Is that not more important than money?	SatoshiLite	34	2	2017-12-24 03:42:01	944760042791649280	https://twitter.com/SatoshiLite/status/944760042791649280			
	No, I don't.	SatoshiLite	28	1	2017-12-24 03:11:43	944752415777087489	https://twitter.com/SatoshiLite/status/944752415777087489			
	Coincidence happens. Not every is a conspiracy.	SatoshiLite	76	2	2017-12-24 01:44:38	944730502585507840	https://twitter.com/SatoshiLite/status/944730502585507840			
	"So a 4M coin ""premine""? Where's more info?"	SatoshiLite	10	0	2017-12-24 01:14:00	944722792867536896	https://twitter.com/SatoshiLite/status/944722792867536896			
bitcoin 	Didn't you read the Krugman's tweet? Bitcoin is 50x the speed.	SatoshiLite	78	1	2017-12-24 00:55:16	944718079203745792	https://twitter.com/SatoshiLite/status/944718079203745792			
	True	SatoshiLite	54	0	2017-12-24 00:52:26	944717365232648192	https://twitter.com/SatoshiLite/status/944717365232648192			
	https://www. forbes.com/sites/jessedam iani/2017/12/24/crypto-watch-digibyte-dgb-price-surges-120-in-12-hours-what-is-dgb-and-why-is-it-on-the-rise/#5598535e479a …	officialmcafee	4581	1362	2017-12-24 23:59:56	945066539958652928	https://twitter.com/officialmcafee/status/945066539958652928		#5598535e479a	
	Congratulations KWHCoin on a very successful pre-sale! Signup now for the Public ICO in January. http:// kwhcoin.com/pre-sale/	officialmcafee	1398	218	2017-12-24 17:25:19	944967230793666560	https://twitter.com/officialmcafee/status/944967230793666560			
	"It's a fake account for Christ's sake. They use a capital ""i"" instead of ""L"". See attached: pic.twitter.com/nGtDLWDIkA"	officialmcafee	139	15	2017-12-24 17:21:41	944966317060382721	https://twitter.com/officialmcafee/status/944966317060382721			
	For everyone who has DM'd me about sether.io: It is an ICO. You can't buy it one day and sell it the next. It is a longer term play. Wait for the ICO to finish and get listed on exchanges. You must wait, but the returns will be way better. I explained this in my original tweet.	officialmcafee	2230	317	2017-12-24 17:17:24	944965241699471361	https://twitter.com/officialmcafee/status/944965241699471361			
	Tell that to my lawyers. You will be served with a civil suit shortly.	officialmcafee	304	16	2017-12-24 16:56:02	944959863469367296	https://twitter.com/officialmcafee/status/944959863469367296			
	There is a fake Officialmcafee account. They have been fucking with me for weeks. Twitter has been notified. See attached screenshot. So please dint perpetuate garbage. pic.twitter.com/wWArUMkWce	officialmcafee	780	148	2017-12-24 16:39:48	944955776036196352	https://twitter.com/officialmcafee/status/944955776036196352			
	Coin of the day: Reddcoin (RDD) - a sleeper - most widely used social network coin in the world - flying under the radar since 2014. Working with every Social Media platform, it is the only currency that many children under the age of 10 have ever known. https://www. reddcoin.com	officialmcafee	6427	2338	2017-12-24 14:56:43	944929837671690241	https://twitter.com/officialmcafee/status/944929837671690241			
bitcoin 	Now that usability of your platform is being intentionally destroyed by Bitcoin Core's high fees, you should start making plans to move future development onto the real version of Bitcoin: #BitcoinCash @JudithJakubovic https:// twitter.com/Omni_Layer/sta tus/943852178724347904 …	rogerkver	828	235	2017-12-24 18:00:37	944976114526621696	https://twitter.com/rogerkver/status/944976114526621696		#BitcoinCash	@JudithJakubovic
	How long before prosthetics outperform god-given limbs? https:// twitter.com/mfordfuture/st atus/944583922997977089 …	BrettKing	6	2	2017-12-24 02:05:17	944735696417361920	https://twitter.com/BrettKing/status/944735696417361920			
	13 Are happy	BrettKing	0	0	2017-12-24 01:29:32	944726701803753472	https://twitter.com/BrettKing/status/944726701803753472			
	pic.twitter.com/iJUFEnvWqJ	BrettKing	2	0	2017-12-24 01:29:22	944726659239940104	https://twitter.com/BrettKing/status/944726659239940104			
	Sure @Chris_Skinner ... we know you’re always hedging ;)	BrettKing	2	0	2017-12-24 01:14:17	944722863919190016	https://twitter.com/BrettKing/status/944722863919190016			@Chris_Skinner
	Do you have a scheduled date yet @elonmusk . This is a launch I have to see in person!!	BrettKing	1	0	2017-12-24 01:11:15	944722101956734976	https://twitter.com/BrettKing/status/944722101956734976			@elonmusk
	Microeconomics, capitalism, trade created prosperity. Despite the macroeconomic shenanigans, not because of.	naval	190	23	2017-12-24 20:45:45	945017671149481984	https://twitter.com/naval/status/945017671149481984			
	Crypto is a bet against the modern macroeconomic dogma, which is passed off as science, but is really a branch of politics - with rulers, winners, and losers.	naval	4791	1740	2017-12-24 20:14:56	945009916351275008	https://twitter.com/naval/status/945009916351275008			
	“unemployment...cannot be cured by inflationary policies [due to] the existence of discrepancies between the distribution of demand among different goods and services and the allocation of resources among production of those outputs. “ https:// twitter.com/iam_preethi/st atus/943695719205965824 …	naval	284	47	2017-12-24 10:04:54	944856398474625025	https://twitter.com/naval/status/944856398474625025			
	https:// twitter.com/naval/status/9 44495660115443713 …	naval	2	0	2017-12-24 08:49:23	944837395412692993	https://twitter.com/naval/status/944837395412692993			
	"One of the responses was trying to ""gay-shame"" me. In 2017. WTF? That's why we need to support organizations like @LambdaLegal"	aantonop	16	0	2017-12-24 23:15:50	945055444518735872	https://twitter.com/aantonop/status/945055444518735872			@LambdaLegal
	Thanks to the 16 people who demonstrated the level of hate that LGBT people face, by trolling me for donating to @LambdaLegal , a fantastic organization. I donated $1600 more on your behalf, haters. Anyone care to match my donation? https://www. lambdalegal.org/donate	aantonop	988	102	2017-12-24 23:09:20	945053807872020480	https://twitter.com/aantonop/status/945053807872020480			@LambdaLegal
	That's $200 because of the rainbows. Cheers	aantonop	420	10	2017-12-24 20:06:10	945007712403902465	https://twitter.com/aantonop/status/945007712403902465			
	Blocked two more trolls (2 x $100) @LambdaLegal now getting $1400 total as a response to bigot trolling.	aantonop	595	22	2017-12-24 19:00:48	944991261123018757	https://twitter.com/aantonop/status/944991261123018757			@LambdaLegal
	No, they're not. My businesses are profitable on their own.	aantonop	34	1	2017-12-24 18:58:57	944990795198803970	https://twitter.com/aantonop/status/944990795198803970			
	Just FYI I donated to charities, as I do every year, from my earnings. Not from donations received from others.	aantonop	999	62	2017-12-24 18:54:02	944989557883326465	https://twitter.com/aantonop/status/944989557883326465			
	12 people trolled or posted snarky comments about my charitable donation to @LambdaLegal . I blocked them and now will donate $100 on behalf of each: $1200 total MORE to Lambda Legal. Keep it up...	aantonop	2511	225	2017-12-24 18:35:33	944984907947921409	https://twitter.com/aantonop/status/944984907947921409			@LambdaLegal
	I donated to Lambda Legal in support of their efforts to secure equality for LGBT people and those with HIV. http://www. lambdalegal.org/donate	aantonop	535	49	2017-12-24 17:18:21	944965478426005504	https://twitter.com/aantonop/status/944965478426005504			
	I donated to the American Civil Liberties Union. Join me and help fight for civil liberties: https:// action.aclu.org/donate-aclu	aantonop	351	41	2017-12-24 17:15:07	944964666752749568	https://twitter.com/aantonop/status/944964666752749568			
	I support @EFF because digital rights are human rights. Donate Today: https:// eff.org/join	aantonop	240	50	2017-12-24 17:10:17	944963448806494208	https://twitter.com/aantonop/status/944963448806494208			@EFF
	I just donated to RAINN to support survivors of sexual violence. You can #GiveToRAINN too: https:// donate.rainn.org /	aantonop	308	35	2017-12-24 17:08:14	944962932894552070	https://twitter.com/aantonop/status/944962932894552070		#GiveToRAINN	
	Please don't	aantonop	65	1	2017-12-24 16:59:42	944960786644000768	https://twitter.com/aantonop/status/944960786644000768			
bitcoin 	There's a detailed explanation in Mastering Bitcoin 2nd edition. See GitHub	aantonop	2	0	2017-12-24 03:11:09	944752274219388929	https://twitter.com/aantonop/status/944752274219388929			
	No, those primarily receiving do not need to commit more than a nominal amount for fees	aantonop	3	0	2017-12-24 02:58:46	944749156932911104	https://twitter.com/aantonop/status/944749156932911104			
	Lightning network is not payment channel between buyer and seller. It is routed payment channels over a network.	aantonop	8	0	2017-12-24 02:42:41	944745108980817920	https://twitter.com/aantonop/status/944745108980817920			
	Team effort	ummjackson	3	0	2017-12-24 21:53:25	945034702582251520	https://twitter.com/ummjackson/status/945034702582251520			
	Haha yup. Not a bubble.	ummjackson	0	0	2017-12-24 20:20:44	945011376556163072	https://twitter.com/ummjackson/status/945011376556163072			
	You need to do a twitter search for “crypto” and “lambo”	ummjackson	0	0	2017-12-24 19:16:54	944995313093246976	https://twitter.com/ummjackson/status/944995313093246976			
	Point definitely taken, you’re correct. Just trying to drive the point that these new crypto millionaires are far more likely to buy a Lambo than give to the dems.	ummjackson	1	0	2017-12-24 17:33:19	944969245544161281	https://twitter.com/ummjackson/status/944969245544161281			
bitcoin 	You’re assuming that any of these ancap libertarian Bitcoin types would donate to anything state-related... let alone something left leaning. ...also they think they’re geniuses because of their crypto riches, not just dumb luck.	ummjackson	4	0	2017-12-24 16:58:25	944960462164189184	https://twitter.com/ummjackson/status/944960462164189184			
	Right, read the thread	ummjackson	1	0	2017-12-24 07:18:35	944814542739070977	https://twitter.com/ummjackson/status/944814542739070977			
	https:// twitter.com/i_zzzzzz/statu s/944382521701273600 …	ummjackson	13	0	2017-12-24 03:20:58	944754744064483330	https://twitter.com/ummjackson/status/944754744064483330			
	I think even those who like it can offer a bunch of critiques of it... worth a play (well, at least 3 plays) for sure.	ummjackson	1	0	2017-12-24 03:02:20	944750055533174785	https://twitter.com/ummjackson/status/944750055533174785			
	You have a low threshold of evidence. I am anti-state... the very opposite of right (or left) wing.	ErikVoorhees	9	1	2017-12-24 19:48:46	945003332543713280	https://twitter.com/ErikVoorhees/status/945003332543713280			
	Doubling capacity does more than bring fees down by half. Fees rise exponentially to infinity as high demand txs approach capacity limit. Similarly, if txs double from here, fees will increase by 10-100x, not 2x.	ErikVoorhees	22	1	2017-12-24 19:46:41	945002809396576256	https://twitter.com/ErikVoorhees/status/945002809396576256			
	Internet grew at least as fast, so how is that relevant to this analogy?	ErikVoorhees	20	0	2017-12-24 19:42:04	945001648488771590	https://twitter.com/ErikVoorhees/status/945001648488771590			
	In what way does my ideology put me in the “radical right?” I’m curious.	ErikVoorhees	4	0	2017-12-24 19:41:27	945001492913647616	https://twitter.com/ErikVoorhees/status/945001492913647616			
	You mean a hundred years from now?	ErikVoorhees	29	2	2017-12-24 19:32:33	944999251515281410	https://twitter.com/ErikVoorhees/status/944999251515281410			
	He could’ve just called the book, Das Kapital in the 21st Century.	ErikVoorhees	30	2	2017-12-24 19:31:48	944999064688459783	https://twitter.com/ErikVoorhees/status/944999064688459783			
bitcoin 	The difference, of course, is that Bitcoin used to have low fees. It has regressed - gotten worse with time - whereas internet bandwidth didn’t.	ErikVoorhees	220	34	2017-12-24 19:30:05	944998631047753733	https://twitter.com/ErikVoorhees/status/944998631047753733			
	3/ Google Fi feels like a beacon of hope here (wish it allowed iOS devices officially as well)	brian_armstrong	105	2	2017-12-24 22:09:05	945038644888211456	https://twitter.com/brian_armstrong/status/945038644888211456			
	2/ Inconceivable that someone would want to buy their own phone and just use the network.	brian_armstrong	40	3	2017-12-24 22:08:12	945038420786548736	https://twitter.com/brian_armstrong/status/945038420786548736			
	1/ I suspect part of the reason cell phone carriers feel so shady as companies is that they are in the lending business as well as the renting out cell towers business. Feels like you entered a sales funnel every time you talk to them...	brian_armstrong	85	8	2017-12-24 22:07:41	945038291878817792	https://twitter.com/brian_armstrong/status/945038291878817792			
	Interesting to see Satoshi & Theymos commenting on block size in the very early days. https:// twitter.com/kyletorpey/sta tus/945012453242437632 …	TuurDemeester	57	21	2017-12-24 21:33:11	945029609871028224	https://twitter.com/TuurDemeester/status/945029609871028224			
	1 with +80% market cap and +1,000 coins for the remaining 20%.	TuurDemeester	5	1	2017-12-24 20:36:14	945015277854523394	https://twitter.com/TuurDemeester/status/945015277854523394			
	Interesting breakdown. Imo store of value / currency is the killer app of the cryptoasset space, the market seems to agree: https:// twitter.com/lsukernik/stat us/944991859809640448 …	TuurDemeester	162	55	2017-12-24 19:42:28	945001745666772993	https://twitter.com/TuurDemeester/status/945001745666772993			
	Hey @earndotcom ( @21dotco ), will you allow users to verify their accounts and increase withdrawal limits? Right now the limit is $300 and recommended fee is $17, which means cost is 5.6%.	TuurDemeester	38	12	2017-12-24 19:28:42	944998283910533120	https://twitter.com/TuurDemeester/status/944998283910533120			@earndotcom @21dotco
bitcoin 	Bitcoin down 39% in 2 weeks — I'd call that a punch! https:// twitter.com/TuurDemeester/ status/939512889022574592 …	TuurDemeester	190	66	2017-12-24 14:42:24	944926232512290818	https://twitter.com/TuurDemeester/status/944926232512290818			
	Cryptocurrencies today http:// cryptomaps.org pic.twitter.com/vvLlQl2FsH	TuurDemeester	421	170	2017-12-24 13:58:00	944915057863024641	https://twitter.com/TuurDemeester/status/944915057863024641			
bitcoin 	Or to put it more mildly: Bitcoin is. https:// twitter.com/AlpacaSW/statu s/944629134059335680 …	TuurDemeester	86	15	2017-12-24 12:50:34	944898090364014592	https://twitter.com/TuurDemeester/status/944898090364014592			
	hahaha	TuurDemeester	1	0	2017-12-24 02:43:09	944745226438152193	https://twitter.com/TuurDemeester/status/944745226438152193			
	I'll bid again in a few years with same btc equivalent amount ;-)	TuurDemeester	2	0	2017-12-24 02:11:50	944737346305617920	https://twitter.com/TuurDemeester/status/944737346305617920			
	Peace to you too, John! Enjoy the holidays.	TuurDemeester	3	0	2017-12-24 01:13:53	944722761360044032	https://twitter.com/TuurDemeester/status/944722761360044032			
bitcoin 	Imo uniting is for central planners ;-) I know that I'm known as a Bitcoin maximalist, but I love that a 1,000 cryptocurrency experiments can blossom and that there's a myriad of opposing views.	TuurDemeester	127	9	2017-12-24 01:00:14	944719328078901256	https://twitter.com/TuurDemeester/status/944719328078901256			
	And soon a lot more...	cryptomanran	2	0	2017-12-24 21:45:21	945032673252335616	https://twitter.com/cryptomanran/status/945032673252335616			
	Not all tokens distributed, trading on one exchange, great company (opskins) and solid project...	cryptomanran	1	0	2017-12-24 21:02:01	945021765201334273	https://twitter.com/cryptomanran/status/945021765201334273			
	If you can get your hands on WAXTOKEN at this price, DO IT!	cryptomanran	36	10	2017-12-24 21:00:19	945021340779675648	https://twitter.com/cryptomanran/status/945021340779675648			
	Crypto putting on its red Christmas outfit... pic.twitter.com/GvL4WB9DDA	cryptomanran	100	35	2017-12-24 20:42:57	945016966854725632	https://twitter.com/cryptomanran/status/945016966854725632			
	Is there anyone that is actually buying these @officialmcafee daily pump and dumps?	cryptomanran	36	4	2017-12-24 18:01:24	944976311830839296	https://twitter.com/cryptomanran/status/944976311830839296			@officialmcafee
	SERIOUSLY PISSED OFF This whole year the Animal shelter has been encouraging us to adopt an animal so I go there this morning asking for a large turkey and suddenly there's a million questions!! Merry XMas!	cryptomanran	113	18	2017-12-24 17:00:46	944961052348907520	https://twitter.com/cryptomanran/status/944961052348907520			
	Will 2017 go down as the year with the biggest returns in crypto ever?	cryptomanran	42	3	2017-12-24 12:20:08	944890431120297984	https://twitter.com/cryptomanran/status/944890431120297984			
	This BTC drop cannot be good for Christmas dinner conversation.	cryptomanran	114	20	2017-12-24 11:11:58	944873277851389952	https://twitter.com/cryptomanran/status/944873277851389952			
	pic.twitter.com/1LX1aUF0dn	cryptomanran	83	27	2017-12-24 10:43:32	944866120397393920	https://twitter.com/cryptomanran/status/944866120397393920			
	If you truly believe in BTC as a store of value, at this early adoption stage it doesn't make a difference what level you buy in at as in the long term it will be inconsequential. We had these debates at $800, $1000, $1300, $2000 , $2200...	cryptomanran	123	27	2017-12-24 08:21:00	944830251913408512	https://twitter.com/cryptomanran/status/944830251913408512			
	In traditional business, central leadership was the key factor to success. Leader built the culture that drove organizations to succeed or fail. We now have a new concept called decentralized leadership - where does the culture come from?	cryptomanran	44	17	2017-12-24 06:45:21	944806181381517312	https://twitter.com/cryptomanran/status/944806181381517312			
	This. https:// twitter.com/haydentiff/sta tus/941690628773052417 …	haydentiff	8	2	2017-12-24 23:57:27	945065915766358016	https://twitter.com/haydentiff/status/945065915766358016			
		haydentiff	1	0	2017-12-24 23:53:01	945064799628443648	https://twitter.com/haydentiff/status/945064799628443648			
		haydentiff	0	0	2017-12-24 23:41:33	945061913406226432	https://twitter.com/haydentiff/status/945061913406226432			
	Thanks!	haydentiff	0	0	2017-12-24 23:41:11	945061821945323520	https://twitter.com/haydentiff/status/945061821945323520			
	Photoshop. https:// twitter.com/louboui/status /945060114905546752 …	haydentiff	106	3	2017-12-24 23:35:49	945060472306282496	https://twitter.com/haydentiff/status/945060472306282496			
	Oh! https:// twitter.com/valuinvstrtoda y/status/945057754892455936 …	haydentiff	8	0	2017-12-24 23:31:57	945059500532178945	https://twitter.com/haydentiff/status/945059500532178945			
		haydentiff	0	0	2017-12-24 23:26:06	945058026620252160	https://twitter.com/haydentiff/status/945058026620252160			
	What?! Why not? I get great mileage out of those shirts! #XRPthestandard $ XRP https:// twitter.com/2thebeens/stat us/945056318141874176 …	haydentiff	16	0	2017-12-24 23:23:02	945057256298618880	https://twitter.com/haydentiff/status/945057256298618880		#XRPthestandard	
	Of course not.	haydentiff	3	0	2017-12-24 23:20:54	945056716198092800	https://twitter.com/haydentiff/status/945056716198092800			
ripple 	“You gain no value from other networks developed by Ripple.” That’s simply not true. Every one of those networks can now use $ XRP as a source of liquidity.	haydentiff	40	11	2017-12-24 23:13:17	945054798994214912	https://twitter.com/haydentiff/status/945054798994214912			
	Not that I’m aware of. XRP is on-demand liquidity for market-makers. Market-makers provide liquidity. Banks provide volume.	haydentiff	15	4	2017-12-24 23:03:06	945052239227322368	https://twitter.com/haydentiff/status/945052239227322368			
	It didn’t even make sense.	haydentiff	10	0	2017-12-24 22:55:43	945050378424352768	https://twitter.com/haydentiff/status/945050378424352768			
	Merry Christmas!	haydentiff	3	0	2017-12-24 22:53:22	945049789598543872	https://twitter.com/haydentiff/status/945049789598543872			
	You like XRP a lot too, huh?	haydentiff	22	2	2017-12-24 22:52:15	945049505849688064	https://twitter.com/haydentiff/status/945049505849688064			
	Thanks.	haydentiff	1	0	2017-12-24 22:49:39	945048855086645248	https://twitter.com/haydentiff/status/945048855086645248			
	Aww, thanks! Right back at ya!	haydentiff	1	0	2017-12-24 22:42:32	945047061774221312	https://twitter.com/haydentiff/status/945047061774221312			
	Merry Christmas!	haydentiff	3	0	2017-12-24 22:07:20	945038203769073664	https://twitter.com/haydentiff/status/945038203769073664			
