bitcoin 	Internet archive continues to accept and expand accepting crypto for donations (now it's taking BTC, BCH, ZEC, ETH). Donation link here: https:// archive.org/donate/bitcoin .php … https:// twitter.com/internetarchiv e/status/959640651024314368 …	VitalikButerin	1804	542	1517901966	960776599795879936	https://twitter.com/VitalikButerin/status/960776599795879936			
	Robotics and Cognitive Automation Required to Keep Banking From Drowning in Data. http:// bit.ly/2rRZ34d #banking #AI #MachineLearning #robotics #TechTrends #BigData #Analytics @DeepLearn007 @ipfconline1 @Fisher85M @DeloitteInsight @leimer @jblefevre60 @BourseetTrading pic.twitter.com/ErMz9ZtZXV	JimMarous	40	42	1517927520	960883781933572096	https://twitter.com/JimMarous/status/960883781933572096		#banking #AI #MachineLearning #robotics #TechTrends #BigData #Analytics	@DeepLearn007 @ipfconline1 @Fisher85M @DeloitteInsight @leimer @jblefevre60 @BourseetTrading
	The impact of big data on banking and financial systems http:// bit.ly/2GA0TKi HT @DeepLearn007 #AI #MachineLearning #BigData #TechTrends #Fintech #banking #tech @pierrepinna @psb_dc @Shirastweet @thepsironi @BourseetTrading @KirkDBorne pic.twitter.com/lDJt3eaK3T	JimMarous	36	34	1517925720	960876231792013312	https://twitter.com/JimMarous/status/960876231792013312		#AI #MachineLearning #BigData #TechTrends #Fintech #banking #tech	@DeepLearn007 @pierrepinna @psb_dc @Shirastweet @thepsironi @BourseetTrading @KirkDBorne
	AI Everywhere: Surprising Ways We Interact With AI Everyday http:// on.mash.to/2DVmko9 #banking #fintech #AI #MachineLearning #TechTrends #healthtech #BigData #Chatbots @leimer @IBMFinTech @IBMWatson @susvis @chboursin @Visible_Banking @cgledhill @BrettKing pic.twitter.com/LpqZkRJqxx	JimMarous	7	10	1517923920	960868682795642880	https://twitter.com/JimMarous/status/960868682795642880		#banking #fintech #AI #MachineLearning #TechTrends #healthtech #BigData #Chatbots	@leimer @IBMFinTech @IBMWatson @susvis @chboursin @Visible_Banking @cgledhill @BrettKing
	Great share from @SpirosMargaris on recent report from @Deloitte on #AI and #MachineLearning . @DeepLearn007 @pierrepinna @psb_dc @Shirastweet @MCins_ https:// twitter.com/SpirosMargaris /status/960762933746814976 …	JimMarous	15	14	1517922990	960864782952947712	https://twitter.com/JimMarous/status/960864782952947712		#AI #MachineLearning	@SpirosMargaris @Deloitte @DeepLearn007 @pierrepinna @psb_dc @Shirastweet @MCins_
	2018 is the Year Artificial Intelligence Becomes A Marketer’s Friend http:// bit.ly/2DbrYlO HT @DeepLearn007 #AI #MachineLearning #BigData #Marketing #Digital #DigitalMarketing #CX #martech #tech @MarTechExec @pierrepinna @TamaraMcCleary @Fisher85M @chiefmartec pic.twitter.com/r7PXYJmytj	JimMarous	37	47	1517922120	960861132012503041	https://twitter.com/JimMarous/status/960861132012503041		#AI #MachineLearning #BigData #Marketing #Digital #DigitalMarketing #CX #martech #tech	@DeepLearn007 @MarTechExec @pierrepinna @TamaraMcCleary @Fisher85M @chiefmartec
	Does opening up customer data represent a threat or opportunity? http:// bit.ly/2Ayfr90 #OpenBanking @Financialbrand @Deloitte #BigData pic.twitter.com/VF2aVoQhdD	JimMarous	2	8	1517920380	960853833973813248	https://twitter.com/JimMarous/status/960853833973813248		#OpenBanking #BigData	@Financialbrand @Deloitte
	The 5 A's of Analytics Transformation http:// accntu.re/2DUfmis #banking #fintech #analytics #AI #MachineLearning #BigData @DeepLearn007 @ipfconline1 @evankirstel @Fisher85M @jblefevre60 @TamaraMcCleary @BankingInsights @AccentureDigi pic.twitter.com/tg5oB6yqfH	JimMarous	28	27	1517918640	960846536698548225	https://twitter.com/JimMarous/status/960846536698548225		#banking #fintech #analytics #AI #MachineLearning #BigData	@DeepLearn007 @ipfconline1 @evankirstel @Fisher85M @jblefevre60 @TamaraMcCleary @BankingInsights @AccentureDigi
	The most significant AI trends for fintech in 2018. http:// bit.ly/2nhfGBx #AI #MachineLearning #BigData #TechTrends #banking @StrategyFintech @helene_wpli @BourseetTrading @guzmand @ipfconline1 @fintechna @Shirastweet @Bobsguidedotcom pic.twitter.com/0QI24Gwikk	JimMarous	32	54	1517916960	960839489500229632	https://twitter.com/JimMarous/status/960839489500229632		#AI #MachineLearning #BigData #TechTrends #banking	@StrategyFintech @helene_wpli @BourseetTrading @guzmand @ipfconline1 @fintechna @Shirastweet @Bobsguidedotcom
	Market Overview: Interest in AI Exploding. http:// bit.ly/2nsMEyf #AI #MachineLearning #BigData #TechTrends @DeepLearn007 @BrianRoemmele @ipfconline1 @BourseetTrading @leimer @Fisher85M pic.twitter.com/Xdu3rCx5pu	JimMarous	28	37	1517915040	960831436252164104	https://twitter.com/JimMarous/status/960831436252164104		#AI #MachineLearning #BigData #TechTrends	@DeepLearn007 @BrianRoemmele @ipfconline1 @BourseetTrading @leimer @Fisher85M
	How Fintech Is Targeting Millennials Using AI And Machine-Learning. http:// bit.ly/2BvvC7p #banking #fintech #millennial #AI #MachineLearning #BigData #TechTrends @DeepLearn007 @pierrepinna @psb_dc @helene_wpli @BourseetTrading @antgrasso pic.twitter.com/ly2Zkgugda	JimMarous	32	44	1517912820	960822124461023232	https://twitter.com/JimMarous/status/960822124461023232		#banking #fintech #millennial #AI #MachineLearning #BigData #TechTrends	@DeepLearn007 @pierrepinna @psb_dc @helene_wpli @BourseetTrading @antgrasso
