	That doesn't let you collaboratively edit in real time.	VitalikButerin	10	3	1519099654	965800067490660352	https://twitter.com/VitalikButerin/status/965800067490660352			
	Jason Bates & Simon Taylor know a thing or two about what makes a great product manager. Subscribe to our channel so you don't miss future tips from the 11:FS team here: https:// goo.gl/QwZvxW pic.twitter.com/KOlojL3rxb	davidbrear	4	0	1519158182	966045550041862144	https://twitter.com/davidbrear/status/966045550041862144			
	Make sure you check this out. The biggest @11FSTeam @FinTechInsiders #Afterdark yet. https:// twitter.com/fintechinsider s/status/965539532941746176 …	davidbrear	2	0	1519118763	965880218530537472	https://twitter.com/davidbrear/status/965880218530537472		#Afterdark	@11FSTeam @FinTechInsiders
	Take notice people @sytaylor & @JasonBates recently gave their opinion on which verticals banks should be targeting right now. To find out what we think subscribe to our channel here: https:// goo.gl/44ALp5 pic.twitter.com/pH5fD1JVSw	davidbrear	2	1	1519083303	965731485113376768	https://twitter.com/davidbrear/status/965731485113376768			@sytaylor @JasonBates
	#mpecosystem thanks for dinner #ACI #SohoHouse pic.twitter.com/C5X0U3fgjF	dgwbirch	7	3	1519163441	966067611485208576	https://twitter.com/dgwbirch/status/966067611485208576		#mpecosystem #ACI #SohoHouse	
	Now _this_ is an infographic! The Biggest Fake News Stories of 2017 https:// buff.ly/2okGJeZ	dgwbirch	7	4	1519151161	966016102705844226	https://twitter.com/dgwbirch/status/966016102705844226			
	That’s the problem with socialism. Sooner or later you run out of other people’s ICOs. https://www. ft.com/content/07b105 2c-1648-11e8-9376-4a6390addb44 …	dgwbirch	3	3	1519146588	965996921209810944	https://twitter.com/dgwbirch/status/965996921209810944			
	God help them.	dgwbirch	0	0	1519146532	965996687939506176	https://twitter.com/dgwbirch/status/965996687939506176			
	The movie will make McMafia look so last century	dgwbirch	0	0	1519146506	965996579873320960	https://twitter.com/dgwbirch/status/965996579873320960			
	*KLAXON* silent party consent issue *KLAXON* https:// twitter.com/finhstamsterda m/status/965982346292887552 …	dgwbirch	0	0	1519144096	965986472519241729	https://twitter.com/dgwbirch/status/965986472519241729			
	That means avocados will be only like $19 each right?	dgwbirch	3	0	1519141760	965976674528612353	https://twitter.com/dgwbirch/status/965976674528612353			
	good topic for a podcast?	dgwbirch	1	0	1519140200	965970129908568064	https://twitter.com/dgwbirch/status/965970129908568064			
	Conny please post more about this - lots of people here are asking what GDPR means for payments post-PSD2	dgwbirch	0	0	1519138129	965961445174280192	https://twitter.com/dgwbirch/status/965961445174280192			
	Money2020 Europe! The first 100 speakers! Yes of course I'm one of them otherwise I wouldn't be posting this! https:// buff.ly/2ofMfA4 pic.twitter.com/WqE8wN79Uo	dgwbirch	3	0	1519137837	965960218722127872	https://twitter.com/dgwbirch/status/965960218722127872			
	Big Issue! “the 50-year-old bought a contactless card reader just before Christmas, which he said paid for itself on the first day. ” https:// buff.ly/2FixZy6 pic.twitter.com/AZ13WgIWg0	dgwbirch	6	1	1519136590	965954987829485568	https://twitter.com/dgwbirch/status/965954987829485568			
	Is their a resource for the impact of GDPR on payments? Asking for a friend.	dgwbirch	0	0	1519136357	965954010485280769	https://twitter.com/dgwbirch/status/965954010485280769			
	You can come and meet him at our 21st annual Tomorrow’s Transactions Forum on April 24th/25th at the Tower of London	dgwbirch	1	0	1519136308	965953806663127040	https://twitter.com/dgwbirch/status/965953806663127040			
	Hey can I use this photo in a blog post?	dgwbirch	0	0	1519130373	965928913594736641	https://twitter.com/dgwbirch/status/965928913594736641			
	which means they can explicitly be told to do all sorts of things without you hearing	dgwbirch	0	0	1519130046	965927539221909504	https://twitter.com/dgwbirch/status/965927539221909504			
	I’m more of a Hawkwind man myself.	dgwbirch	0	0	1519130018	965927423249453056	https://twitter.com/dgwbirch/status/965927423249453056			
	he’s saying it wasn’t smart enough, not enough of an ecosystem	dgwbirch	1	0	1519129983	965927275005956096	https://twitter.com/dgwbirch/status/965927275005956096			
	#MPEcosystem wowza! pic.twitter.com/6gSJWq5qax	dgwbirch	11	6	1519124133	965902741431377921	https://twitter.com/dgwbirch/status/965902741431377921		#MPEcosystem	
	#mpecosystem created their biggest revenue stream by offering API access to FPS pic.twitter.com/vAp9y953xK	dgwbirch	8	4	1519124033	965902321879343105	https://twitter.com/dgwbirch/status/965902321879343105		#mpecosystem	
	#mpecosystem Julian says Starling Bank has 140 people in total, HSBC has a thousand lawyers just in London	dgwbirch	12	8	1519123799	965901338822529024	https://twitter.com/dgwbirch/status/965901338822529024		#mpecosystem	
	#mpecosystem Julian Sawyer from Starling Bank “we’re a bank but we’re also a Fintech - more like Spotify than Barclays” pic.twitter.com/Q0Biuh8jeu	dgwbirch	9	7	1519123638	965900665380921344	https://twitter.com/dgwbirch/status/965900665380921344		#mpecosystem	
	#mpecosystem Nigel Spire “now, I’m not saying mPOS was a mistake...” pic.twitter.com/BpVa3Bd3Aw	dgwbirch	1	0	1519123115	965898469834657792	https://twitter.com/dgwbirch/status/965898469834657792		#mpecosystem	
	#mpecosystem Susan is talking about how offline merchants can respond pic.twitter.com/336tQAejKA	dgwbirch	3	1	1519116627	965871259602038784	https://twitter.com/dgwbirch/status/965871259602038784		#mpecosystem	
	“The program is not oriented around making money from interest payments, but to support merchants selling on Amazon's marketplace and to boost Amazon's overall sales growth” https:// buff.ly/2ECUUCN	dgwbirch	26	19	1519116540	965870893787426816	https://twitter.com/dgwbirch/status/965870893787426816			
	#mpecosystem Susan Grossman from Mastercard “knowing more and guessing less” pic.twitter.com/4jxarynjie	dgwbirch	5	1	1519116081	965868967549075457	https://twitter.com/dgwbirch/status/965868967549075457		#mpecosystem	
	You are very kind, thank you.	dgwbirch	1	0	1519114956	965864250764865541	https://twitter.com/dgwbirch/status/965864250764865541			
	#mpecosystem first keynote, Susanne Streidel from Wirecard talking about omnichsnnel payments pic.twitter.com/xilZc3emuE	dgwbirch	1	0	1519114612	965862807240617985	https://twitter.com/dgwbirch/status/965862807240617985		#mpecosystem	
	#mpecosystem getting excited... T-20 and counting pic.twitter.com/dewidIc2oA	dgwbirch	1	0	1519112527	965854059663167488	https://twitter.com/dgwbirch/status/965854059663167488		#mpecosystem	
	Disqualified. I already saw this in a blockchain thread.	dgwbirch	1	0	1519111872	965851314587623424	https://twitter.com/dgwbirch/status/965851314587623424			
	I just retweeted it, so the experiment is ON	dgwbirch	0	0	1519111838	965851170962071554	https://twitter.com/dgwbirch/status/965851170962071554			
	+1 https:// twitter.com/thestalwart/st atus/965343368132923393 …	dgwbirch	1	0	1519111814	965851069581537280	https://twitter.com/dgwbirch/status/965851069581537280			
	I will use this today in hommage to you Jill https:// twitter.com/_jillruth/stat us/965796458300518400 …	dgwbirch	1	0	1519111731	965850721848619009	https://twitter.com/dgwbirch/status/965850721848619009			
	Of course I do post pseudonymously as well, but not about work stuff	dgwbirch	0	0	1519104353	965819777162805251	https://twitter.com/dgwbirch/status/965819777162805251			
	As @doctorow once said, it’s hard to monetise fame but impossible to monetise obscurity	dgwbirch	0	0	1519104319	965819634808164352	https://twitter.com/dgwbirch/status/965819634808164352			@doctorow
	Is there a web page where all the Blockstack apps/tools are listed?	wmougayar	3	0	1519097365	965790465554632705	https://twitter.com/wmougayar/status/965790465554632705			
	Woah I mean great but why now? https:// twitter.com/skoczela/statu s/966031583164628992 …	sytaylor	5	0	1519155994	966036374217510917	https://twitter.com/sytaylor/status/966036374217510917			
bitcoin 	Mark Carney says Bitcoin failed as a currency But it succeeded and something else for sure. It's mainstream and it's not going away So whatever it isn't. It is interesting	sytaylor	42	8	1519150956	966015243594993665	https://twitter.com/sytaylor/status/966015243594993665			
	@TheFCA and @CFTC sign fintech pact https:// fintechinsidernews.com/posts/8axG2NKN jdYXJpzfF/fca-and-cftc-sign-fintech-pact … via @fintechinsiders	sytaylor	0	0	1519116592	965871110247067650	https://twitter.com/sytaylor/status/965871110247067650			@TheFCA @CFTC @fintechinsiders
bitcoin 	#Smart Contracts on the #blockchain - advantages and challenges: https:// youtu.be/EffNHnZhg3g #cryptocurrencies #bitcoin	julianhosp	60	14	1519113930	965859943621496832	https://twitter.com/julianhosp/status/965859943621496832		#Smart #blockchain #cryptocurrencies #bitcoin	
	Had fun	julianhosp	1	0	1519081926	965725711506948097	https://twitter.com/julianhosp/status/965725711506948097			
	Scammers are tricking people to log into fake cryptocurrency exchange sites, and they're incredibly hard to spot http://www. businessinsider.com/scammers-spoof ing-cryptocurrency-exchange-site-urls-incredibly-hard-to-spot-2018-2 …	billatnapier	0	0	1519167362	966084055723925504	https://twitter.com/billatnapier/status/966084055723925504			
	Someone hacked a Tesla cloud account to mine cryptocurrency https:// mashable.com/2018/02/20/tes la-hacked-cryptocurrency-mining/?utm_campaign=Mash-BD-Synd-Flipboard-cryptocurrency-Full&utm_cid=Mash-BD-Synd-Flipboard-cryptocurrency-Full …	billatnapier	1	0	1519167260	966083629460815878	https://twitter.com/billatnapier/status/966083629460815878			
	Windows 10 null character flaw keeps malware hidden from security scanning tools http:// flip.it/_-Qdxs	billatnapier	1	1	1519167005	966082560366465024	https://twitter.com/billatnapier/status/966082560366465024			
	I feel head over heels for #Edinburgh many years ago and I will never tire of views like this .... pic.twitter.com/Xr96iesziL	billatnapier	9	0	1519145701	965993202670100480	https://twitter.com/billatnapier/status/965993202670100480		#Edinburgh	
	The latest The Cyber Security Daily! https:// paper.li/billatnapier/1 502887524?edition_id=205dd7f0-163c-11e8-a367-0cc47a0d1605 … #infosec	billatnapier	1	0	1519145125	965990787132641282	https://twitter.com/billatnapier/status/965990787132641282		#infosec	
	Google’s Project Zero discloses Edge browser bug after Microsoft didn’t fix it in time http://www. alphr.com/security/10085 46/project-zero-edge-security-flaw …	billatnapier	1	0	1519144653	965988805579853824	https://twitter.com/billatnapier/status/965988805579853824			
litecoin 	Litecoin rallies after ‘hard fork’ results in creation of spinoff http:// flip.it/cUn8CH	billatnapier	0	0	1519144469	965988034004094977	https://twitter.com/billatnapier/status/965988034004094977			
	Website Malware Scanner - http:// klou.tt/m002srtoqakj	billatnapier	0	0	1519137010	965956748203864070	https://twitter.com/billatnapier/status/965956748203864070			
	Two great collaborations we have ... @SpiritusPtrs @CheckPointSW ... at #digihealthscotland pic.twitter.com/YpTLUrjWHa	billatnapier	9	5	1519132225	965936682460737536	https://twitter.com/billatnapier/status/965936682460737536		#digihealthscotland	@SpiritusPtrs @CheckPointSW
	Two great collaborations we have ... @SpiritusPtrs @CheckPointSW ... at #digihealthscotland18 pic.twitter.com/0FZmcrr4Ht	billatnapier	0	0	1519132162	965936416235671552	https://twitter.com/billatnapier/status/965936416235671552		#digihealthscotland18	@SpiritusPtrs @CheckPointSW
	At Digital Health and Care conference in #edinburgh pic.twitter.com/45H40ESss0	billatnapier	1	0	1519131754	965934705387495424	https://twitter.com/billatnapier/status/965934705387495424		#edinburgh	
bitcoin 	Someone Just Bought $400 Million Worth of Bitcoin - http:// klou.tt/or64zn1xpm5u	billatnapier	1	5	1519123507	965900112667930624	https://twitter.com/billatnapier/status/965900112667930624			
	Hacker erase 1 terabyte of data from spyware developers server - http:// klou.tt/8qvklme8i84v	billatnapier	3	1	1519119007	965881240229302272	https://twitter.com/billatnapier/status/965881240229302272			
	Prepare for Y2K style Meltdown strategy http:// flip.it/jsv8Vk	billatnapier	2	0	1519081824	965725284489203713	https://twitter.com/billatnapier/status/965725284489203713			
	Religion, money - the two most important stories society has told to itself. As Yuval Hararki points out, these organizing stories are what make us human, what gives us dominion over the rest of the world.	mikejcasey	36	9	1519124260	965903273285709825	https://twitter.com/mikejcasey/status/965903273285709825			
	Wyoming House Approves Utility #Token Securities Exemptions Bill https://www. coindesk.com/wyoming-house- approves-utility-token-securities-exemptions-bill/ … #ICO #crypto #cryptocurrency cc @ipfconline1 @andi_staub @sallyeaves @seandotau @insidestat @jblefevre60 @BarkowConsult @dinisguarda @helene_wpli @ImMBM pic.twitter.com/1yNeO0HV06	AntonioSelas	49	37	1519167148	966083156716806145	https://twitter.com/AntonioSelas/status/966083156716806145		#Token #ICO #crypto #cryptocurrency	@ipfconline1 @andi_staub @sallyeaves @seandotau @insidestat @jblefevre60 @BarkowConsult @dinisguarda @helene_wpli @ImMBM
	Where Banks Stand To Lose With #Blockchain Insurers Stand To Gain https://www. forbes.com/sites/dantedis parte/2018/02/20/where-banks-stand-to-lose-with-blockchain-insurers-stand-to-gain/?s=trending#38d39b4b1365 … #insurtech #DLT #fintech cc @guzmand @andi_staub @TunstallAsc @SpirosMargaris @psb_dc @helene_wpli @antgrasso @WFSULLIVAN3 @st_weiss @robgalb @stratorob @Sam_C_Evans @nigelwalsh @mallys_ pic.twitter.com/vuLXfWfIx1	AntonioSelas	56	76	1519146649	965997177381285889	https://twitter.com/AntonioSelas/status/965997177381285889		#Blockchain #38d39b4b1365 #insurtech #DLT #fintech	@guzmand @andi_staub @TunstallAsc @SpirosMargaris @psb_dc @helene_wpli @antgrasso @WFSULLIVAN3 @st_weiss @robgalb @stratorob @Sam_C_Evans @nigelwalsh @mallys_
	. @EthicHub , una plataforma #blockchain española para #crowdlending http://www. eleconomista.es/economia/notic ias/8950958/02/18/EthicHub-una-plataforma-blockchain-espanola-para-crowdlending.html … por @AlexPreukschat via @elEconomistaes	AntonioSelas	8	4	1519145392	965991907309604864	https://twitter.com/AntonioSelas/status/965991907309604864		#blockchain #crowdlending	@EthicHub @AlexPreukschat @elEconomistaes
	Reseña de una de las mesas redondas del I Congreso Europeo sobre Derecho y Gastronomía que organizamos ayer con @FACYRE en #HIP2018 ¿Hay plagio en una receta? Los cocineros exigen derechos de autor https:// cincodias.elpais.com/cincodias/2018 /02/19/fortunas/1519072759_676423.html … @cremadescsotelo @JavierCremades @MSandovalCOQUE pic.twitter.com/2XhqKTlnGT	AntonioSelas	13	8	1519128569	965921344729870336	https://twitter.com/AntonioSelas/status/965921344729870336		#HIP2018	@FACYRE @cremadescsotelo @JavierCremades @MSandovalCOQUE
	Sin duda @TheFCA es un ejemplo a seguir en #fintech . No solo tras el #Brexit (acuerdos como este parecen ser la consecuencia) sino también antes. Trabajemos por parecernos a ellos!	AntonioSelas	5	2	1519125578	965908798853603328	https://twitter.com/AntonioSelas/status/965908798853603328		#fintech #Brexit	@TheFCA
	Algunos seguiremos remando contracorriente para evitar que se repita una vez más la historia	AntonioSelas	8	0	1519114979	965864347196166144	https://twitter.com/AntonioSelas/status/965864347196166144			
	Curioso verles opinar (tan preocupados) sobre Tech La CNMV cuestiona el #blockchain : “no ha sido sometido a suficientes pruebas https:// m.es.investing.com/news/cryptocur rency-news/la-cnmv-cuestiona-el-blockchain-no-ha-sido-sometido-a-suficientes-pruebas-621033 … cc @SpainFintech @martinhuete @gglardies @LCRSpain @jlcasal @mcantalapiedra @fegido @ikerdlr @Pablo_BlascoB @bamilibia pic.twitter.com/IrTcS85gd0	AntonioSelas	21	16	1519112862	965855466554355715	https://twitter.com/AntonioSelas/status/965855466554355715		#blockchain	@SpainFintech @martinhuete @gglardies @LCRSpain @jlcasal @mcantalapiedra @fegido @ikerdlr @Pablo_BlascoB @bamilibia
	色々支障をきたしているのでそろそろ社会人復帰します	mochi_wsj	2	0	1519134446	965945996554338304	https://twitter.com/mochi_wsj/status/965945996554338304			
	してない	mochi_wsj	4	5	1519134231	965945094850297856	https://twitter.com/mochi_wsj/status/965945094850297856			
	寄り道たくさんしたのでストーリーだけだともっと短くいけますね！	mochi_wsj	0	0	1519134154	965944772077658113	https://twitter.com/mochi_wsj/status/965944772077658113			
	気づいたらこんなことに	mochi_wsj	0	0	1519134122	965944637759242242	https://twitter.com/mochi_wsj/status/965944637759242242			
	キュウサイポイントほしいです	mochi_wsj	0	0	1519134109	965944581492588545	https://twitter.com/mochi_wsj/status/965944581492588545			
	職人なにをやろうか迷っているうちにウヤムヤになってしまいましたね！	mochi_wsj	0	0	1519134095	965944525020577792	https://twitter.com/mochi_wsj/status/965944525020577792			
	53くらいとかだと思います。アナザーは全て一個飛ばして行きました	mochi_wsj	0	0	1519133451	965941823393812484	https://twitter.com/mochi_wsj/status/965941823393812484			
	ドラクエ10、明日のアップデートで解放されるお話にそのまま入っていけそうです。12月31日から開始、一日平均6時間プレイをしてますがストーリー最前線に追い付けたので未プレイの皆さんも今からはじめても遅くないですよ、ということで。 #DQ10 #NintendoSwitch pic.twitter.com/H7GZlwyuQo	mochi_wsj	78	92	1519131390	965933178119573504	https://twitter.com/mochi_wsj/status/965933178119573504		#DQ10 #NintendoSwitch	
	逸話はいろいろ聞きますw	mochi_wsj	0	0	1519115462	965866371593641984	https://twitter.com/mochi_wsj/status/965866371593641984			
	@bhanudhir @psaimbi @abidmk55 , thanks for recent engagements in the last week, happy to have you in my community as my top recently engaged followers :) - Grow your followers with https:// commun.it/get-growth?tc= n&aid=thankyou211 …	SafarazAli	0	0	1519104415	965820036802850816	https://twitter.com/SafarazAli/status/965820036802850816			@bhanudhir @psaimbi @abidmk55
	#Thankyou to my top #engaged members @GrowandGloCoach @alhajpp @NBusawon always great to #network - Grow your followers with https:// commun.it/growth/?tc=n&a id=thankyou205 …	SafarazAli	2	0	1519090458	965761497375887360	https://twitter.com/SafarazAli/status/965761497375887360		#Thankyou #engaged #network	@GrowandGloCoach @alhajpp @NBusawon
	Would be worse. Dramatically lower access would mean dramatically lower use, experimentation, innovation, and ultimately, lower prices.	FEhrsam	24	1	1519105338	965823909709848577	https://twitter.com/FEhrsam/status/965823909709848577			
	Great analysis! cc: @RyanRadloff @dannylmasters	jonmatonis	5	1	1519127693	965917672339894272	https://twitter.com/jonmatonis/status/965917672339894272			@RyanRadloff @dannylmasters
	History of Anti-Money Laundering Laws in the US https://www. fincen.gov/history-anti-m oney-laundering-laws … #banking	jonmatonis	13	5	1519127498	965916855377547265	https://twitter.com/jonmatonis/status/965916855377547265		#banking	
	"Prior to 1970, before it was labelled as ""money laundering"" it was just called ""banking"" https:// en.wikipedia.org/wiki/Bank_Secr ecy_Act … https:// twitter.com/aantonop/statu s/965732695228608513 …"	jonmatonis	39	25	1519127316	965916092190380033	https://twitter.com/jonmatonis/status/965916092190380033			
	Factset and @CGBlockchain Transforming the Landscape for Institutional Crypto Investing https://www. equities.com/component/eq_a rticles/16-trillion-institutional-investors-to-obtain-first-ever-access-to-blockchain-based-apps-and-currencies …	jonmatonis	6	1	1519105756	965825660064329728	https://twitter.com/jonmatonis/status/965825660064329728			@CGBlockchain
bitcoin 	South Korean cryptocurrency regulator found dead at home https://www. wsj.com/articles/south -korean-cryptocurrency-regulator-found-dead-at-home-1519093020 … via @WSJ #bitcoin	bitentrepreneur	1	0	1519131966	965935595183857668	https://twitter.com/bitentrepreneur/status/965935595183857668		#bitcoin	@WSJ
	come on, that's unreasonable stance, why are people so militant towards other coins, i honestly don't get it. competition is great!	bitentrepreneur	0	0	1519131730	965934603159658497	https://twitter.com/bitentrepreneur/status/965934603159658497			
	anyone can fork an open source project as they see fit	bitentrepreneur	0	0	1519131676	965934377489371136	https://twitter.com/bitentrepreneur/status/965934377489371136			
	anyone is free to fork an open source project as they wish. competition is great for all of us - thats what its all about!	bitentrepreneur	0	0	1519130762	965930543631273984	https://twitter.com/bitentrepreneur/status/965930543631273984			
	sure i could talk about that too, it's not the point of my topic tho. whats wrong in discussing other types of cryptocurrencies in a get together? is that wrong?	bitentrepreneur	0	0	1519130686	965930226915082241	https://twitter.com/bitentrepreneur/status/965930226915082241			
	what does this chart show? bch has less mining power? miners are free to mine whatever they wish. it's purely profit driven	bitentrepreneur	0	0	1519130614	965929922702213120	https://twitter.com/bitentrepreneur/status/965929922702213120			
	stop guys no point in getting into this	bitentrepreneur	0	0	1519130225	965928293227692034	https://twitter.com/bitentrepreneur/status/965928293227692034			
	there are no sides friend - it's all cryptocurrency. fighting within our community is detrimental to all	bitentrepreneur	1	0	1519129062	965923415499706368	https://twitter.com/bitentrepreneur/status/965923415499706368			
bitcoin 	where do we say bitcoin is bitcoin cash? bitcoin cash is bitcoin cash. bitcoin is bitcoin	bitentrepreneur	1	0	1519128825	965922420916998144	https://twitter.com/bitentrepreneur/status/965922420916998144			
bitcoin 	Venezuelan Children Fed With Bitcoin Cash https://www. trustnodes.com/2018/02/18/ven ezuelan-children-fed-bitcoin-cash-world-stands-witness-americas-worst-refugee-crisis-history … #bitcoincash	bitentrepreneur	35	15	1519122023	965893892108443648	https://twitter.com/bitentrepreneur/status/965893892108443648		#bitcoincash	
	pic.twitter.com/wdfEuBzQiA	bitentrepreneur	0	0	1519120497	965887487959863296	https://twitter.com/bitentrepreneur/status/965887487959863296			
	Chandrayaan-2 mission cheaper than Hollywood film Interstellar - Times of India https:// timesofindia.indiatimes.com/home/science/c handrayaan-2-mission-cheaper-than-hollywood-film-interstellar/articleshow/62990361.cms … pic.twitter.com/VVIWxUW4Na	SunnyStartups	4	1	1519123921	965901851311865857	https://twitter.com/SunnyStartups/status/965901851311865857			
litecoin ethereum 	Indian exchange Unocoin adds Ethereum, XRP, Litecoin and more to its trading platform https:// ambcrypto.com/indian-exchang e-unocoin-adds-ethereum-xrp-litecoin-trading-platform/ … pic.twitter.com/MG3JTIEmGK	SunnyStartups	6	0	1519120862	965889019757375489	https://twitter.com/SunnyStartups/status/965889019757375489			
	INFOWARS: Where’s The Economy And Market Going? Follow Interest Rates and keep a close eye on whether or not the Fed continues to raise interest rates https://www. youtube.com/watch?v=PPG0jW Lx_7E …	geraldcelente	20	8	1519160461	966055111121362949	https://twitter.com/geraldcelente/status/966055111121362949			
	What is the best indicator of a market crash? Listen to my talk on Infowars to find out why gold is the answer. https://www. youtube.com/watch?v=VTGwRH TeDSo …	geraldcelente	16	5	1519149651	966009770837708801	https://twitter.com/geraldcelente/status/966009770837708801			
	Watch this edition of Trends in the News to find our what critical trends are about to break and what you can do to prepare. https://www. youtube.com/watch?v=lRgC_q f2ENA …	geraldcelente	7	4	1519138861	965964513907527680	https://twitter.com/geraldcelente/status/965964513907527680			
	Want to know what direction the stock markets are going to go? Find out here when I hosted Infowars yesterday https://www. youtube.com/watch?v=nNvJyh yMatU …	geraldcelente	11	2	1519131639	965934221628977152	https://twitter.com/geraldcelente/status/965934221628977152			
	Trends Monthly: Find out what critical Trends are about to Explode on this week's Trends https://www. youtube.com/watch?v=lRgC_q f2ENA …	geraldcelente	10	6	1519095627	965783175472525312	https://twitter.com/geraldcelente/status/965783175472525312			
	Gerald on @infowars today: Where’s The Economy And Market Going? Follow Interest Rates https://www. youtube.com/watch?v=PPG0jW Lx_7E …	geraldcelente	8	8	1519095620	965783147861377026	https://twitter.com/geraldcelente/status/965783147861377026			@infowars
	Gerald on InfoWars today: Gerald Celente of Trends Research hosts the 4th hour of The Alex Jones Show, advises listeners watch gold prices closely https://www. youtube.com/watch?v=VTGwRH TeDSo …	geraldcelente	11	5	1519093812	965775563179855877	https://twitter.com/geraldcelente/status/965775563179855877			
	Gerald on @infowars today: Gerald Celente discusses the United States' shady dealings around the world. https://www. youtube.com/watch?v=sizXVr fCGqg …	geraldcelente	9	7	1519092015	965768029408825344	https://twitter.com/geraldcelente/status/965768029408825344			@infowars
	Gerald on @Infowars today: Gerald Celente forecasts where the stock markets are going. https://www. youtube.com/watch?v=nNvJyh yMatU …	geraldcelente	11	1	1519090218	965760490109657088	https://twitter.com/geraldcelente/status/965760490109657088			@Infowars
	Greyerz – Pandora’s Box And Disastrous Worldwide Consequences https:// kingworldnews.com/greyerz-pandor as-box-and-disastrous-worldwide-consequences/ …	geraldcelente	4	3	1519085683	965741468500578304	https://twitter.com/geraldcelente/status/965741468500578304			
	"""Global Freakshow: Money Masters & Their Political Puppet Pundits"", this and more with TradCatKnight Radio https://www. youtube.com/watch?v=gcj1OG 77eyg …"	geraldcelente	3	4	1519084839	965737930928132096	https://twitter.com/geraldcelente/status/965737930928132096			
	ETF veteran is going full-on crypto because he says it's a multi-trillion dollar market that will disrupt investments, just like ETFs did https://www. bloomberg.com/news/articles/ 2018-02-20/etf-veteran-goes-crypto-predicting-multitrillion-dollar-market … via @markets pic.twitter.com/5v0M0xzjVI	CamiRusso	35	20	1519156402	966038086131077121	https://twitter.com/CamiRusso/status/966038086131077121			@markets
	I love that insurtech chat leads us to this gif.	charliehalkett	3	0	1519161077	966057692409233408	https://twitter.com/charliehalkett/status/966057692409233408			
	Thanks JV Onwards and upwards with a lot of hard work to come! x	charliehalkett	0	0	1519161026	966057478977880064	https://twitter.com/charliehalkett/status/966057478977880064			
	Thanks @colewinans , that's really kind of you to say - we're all buzzing about it at buzzvault and it's a great team :-)	charliehalkett	1	0	1519160951	966057165155917829	https://twitter.com/charliehalkett/status/966057165155917829			@colewinans
	Thanks @SabineVdL !	charliehalkett	0	0	1519156748	966039536496193536	https://twitter.com/charliehalkett/status/966039536496193536			@SabineVdL
	Thanks @nigelwalsh !	charliehalkett	0	0	1519140203	965970142986428418	https://twitter.com/charliehalkett/status/965970142986428418			@nigelwalsh
	Exciting news from #buzzvault today! @GarethEggle @Josh_Taub @JamesJWYork @nigelwalsh @SpirosMargaris @FGraillot @guzmand @psb_dc @pgc_at_work @SabineVdL @AHCherry89 @MCins_ @AXADavidW @thomasflack @MikeQuindazzi @k_feldborg @LizLum @charmsa @albertogaruccio @Katherine_Coach	charliehalkett	13	0	1519129987	965927295214129153	https://twitter.com/charliehalkett/status/965927295214129153		#buzzvault	@GarethEggle @Josh_Taub @JamesJWYork @nigelwalsh @SpirosMargaris @FGraillot @guzmand @psb_dc @pgc_at_work @SabineVdL @AHCherry89 @MCins_ @AXADavidW @thomasflack @MikeQuindazzi @k_feldborg @LizLum @charmsa @albertogaruccio @Katherine_Coach
	Pleased & proud that #buzzvault have teamed up with @MunichRe Digital Partners. Together = fantastic #insurtech solutions for our customers! #Insurance #instech #IoT #startups #innovation @BeckyDowning1 @Roelienruys @DariusMedora @AndrewRear @BuzzmoveHQ @Insurance_Rosie https:// twitter.com/Insurance_Post /status/965903409395257344 …	charliehalkett	48	24	1519125023	965906472843599873	https://twitter.com/charliehalkett/status/965906472843599873		#buzzvault #insurtech #Insurance #instech #IoT #startups #innovation	@MunichRe @BeckyDowning1 @Roelienruys @DariusMedora @AndrewRear @BuzzmoveHQ @Insurance_Rosie
	Looking good, @k_feldborg !	charliehalkett	3	1	1519115928	965868326990897152	https://twitter.com/charliehalkett/status/965868326990897152			@k_feldborg
	Wyoming just did something remarkable. In a mere three months, a small group of volunteers headed up by Caitlin Long proposed the nation's first bill to grant citizens of Wyoming the right to register utility token ICOs, ending the FUD and BS that has be… https:// lnkd.in/gEt2Qx6	michaelterpin	30	16	1519107336	965832287832064000	https://twitter.com/michaelterpin/status/965832287832064000			
bitcoin 	On parle Bitcoin á Paris #Ludo #ThisisLudo pic.twitter.com/SNL36hdEJS	alextapscott	15	3	1519139903	965968885945065472	https://twitter.com/alextapscott/status/965968885945065472		#Ludo #ThisisLudo	
	Is the News media hiring crisis actors to juice their ratings after a tragedy? These people look quite happy off camera. https:// twitter.com/hodlbtcoin/sta tus/965653194985664512 …	TonyGallippi	5	1	1519109660	965842035264688128	https://twitter.com/TonyGallippi/status/965842035264688128			
	Great point. https:// twitter.com/thescepticisle /status/966054066718740481 …	robdgill	0	0	1519167243	966083555842510848	https://twitter.com/robdgill/status/966083555842510848			
	No wonder Fergie signed him. https:// twitter.com/afcamden/statu s/966056361305010178 …	robdgill	0	0	1519166296	966079583970787329	https://twitter.com/robdgill/status/966079583970787329			
	If only... https:// twitter.com/surbiton2012/s tatus/965956644453670912 …	robdgill	0	0	1519137245	965957736872718336	https://twitter.com/robdgill/status/965957736872718336			
	So if Brexit isn’t going to turn Britain into Mad Max what film will we become? I quite fancy Ferris Bueller’s Day Off #MakeBrexitaFilm	robdgill	2	0	1519134038	965944282862505985	https://twitter.com/robdgill/status/965944282862505985		#MakeBrexitaFilm	
