currency	tweet	username	favorites	retweets	date	id	permalink	geo	hashtags	mentions	lex_sent	vader_sent	cnn_sent
	A @ FortuneMagazine tech reporter reunion at # YahooAMS Crypto! @ axios @ YahooFinance @ JPManga @ imkialikethecarpic.twitter.com/cuGr9sOJZL	readDanwrite	9	3	1529024783	1007429076036882434	https://twitter.com/readDanwrite/status/1007429076036882434		#	@ @ @ @ @	0.22	0.0	0
bitcoin 	Of course we get into an Uber after our # YahooAMS crypto summit and the Uber driver says he knew about our event; owns a lot of bitcoin and stellar lumens; sold 20% of his crypto at end of 2017 and wishes he had sold more. San Francisco!	readDanwrite	6	0	1529018695	1007403542418620416	https://twitter.com/readDanwrite/status/1007403542418620416		#		0.08	0.0766	0
bitcoin ethereum 	# bitcoin and # ethereum fans definitely cheered SEC’s remarkshttps://twitter.com/spirosmargaris/status/1007563723333136384 …	sbmeunier	0	0	1529060842	1007580316452745216	https://twitter.com/sbmeunier/status/1007580316452745216		# #		0.50	0.7184	0
	Interesting idea # Lithuania holds hackathon to mint # digital collector coin # fintech # cryptocurrency # blockchain https://au.news.yahoo.com/lithuania-holds-hackathon-mint-digital-collector-coin-225644581--spt.html …pic.twitter.com/fsS0vO5bIG	sbmeunier	3	2	1529040371	1007494455375646720	https://twitter.com/sbmeunier/status/1007494455375646720		# # # # #		0.58	0.4019	0
bitcoin 	"@ WhatBitcoinDid in your interview with @ mdial I liked your ""micro economies"" phrase as I sense I don't know that's what's happening for @ betashop @ OSTdotcom cc @ seandotau # tokenomics is a business"	thomaspower	2	0	1529055374	1007557381977493504	https://twitter.com/thomaspower/status/1007557381977493504		#	@ @ @ @ @	0.31	0.4215	0
	Fantastic episode of Unconfirmed with @ WhiteAdamL of Coinbase! As someone steeped in crypto but who regularly interacts with Wall Street and regulators, he gives his bird's eye view and explains how crypto is moving from a speculative to a utility phase.https://itunes.apple.com/us/podcast/coinbases-adam-white-on-a-momentous-day-in-crypto-ep-023/id1347049808?i=1000413848610&mt=2 …	laurashin	134	42	1529072816	1007630541150040065	https://twitter.com/laurashin/status/1007630541150040065			@	0.19	0.2262	0
	I get everything you said here but am not sure how they would define the centralized vs. decentralized -- as you can see on crypto Twitter, a lot of people have different opinions on what is centralized vs. what is not	laurashin	0	0	1529034403	1007469423593119750	https://twitter.com/laurashin/status/1007469423593119750				0.07	-0.3491	0
	i find that most blockchain and crypto graphics just make it all more confusing -- but this blockchain explainer from Reuters is pretty great - @ lightnosugarhttps://graphics.reuters.com/TECHNOLOGY-BLOCKCHAIN/010070P11GN/index.html …	nathanielpopper	202	98	1529089942	1007702374348046336	https://twitter.com/nathanielpopper/status/1007702374348046336			@	0.63	0.8848	0
bitcoin 	@ alexbosworth just gave an SF bitcoin devs talk, but could do one more on lapps? @ lightningk0ala won't be in town anymore sadly.	starkness	6	0	1529022184	1007418175342948353	https://twitter.com/starkness/status/1007418175342948353			@ @	0.12	-0.2107	0
	Satoshi United Blockchain Celebration Arrives In Singapore, July 2018 https://cryptocoin.news/cryptocurrency/satoshi-united-blockchain-celebration-arrives-in-singapore-july-2018-15351/ … via @ TodayCrypto	SimonCocking	0	0	1529097034	1007732119500656640	https://twitter.com/SimonCocking/status/1007732119500656640			@	0.08	0.4215	0
	How Will National Cryptocurrencies Affect The Market? https://cryptocoin.news/cryptocurrency/how-will-national-cryptocurrencies-affect-the-market-15335/ … via @ TodayCrypto	SimonCocking	5	2	1529062369	1007586724959092736	https://twitter.com/SimonCocking/status/1007586724959092736			@	0.55	0.0	0
	Why Decentralized Exchanges Are Finally On Their Way, And How They Will Help https://cryptocoin.news/cryptocurrency/decentralized-exchanges-a-long-awaited-trend-in-the-crypto-economy-15332/ … via @ TodayCrypto	SimonCocking	1	0	1529060039	1007576951127728130	https://twitter.com/SimonCocking/status/1007576951127728130			@	0.29	0.4019	0
	Will There Be One Cryptocurrency To Rule Them All? https://cryptocoin.news/cryptocurrency/will-there-be-one-cryptocurrency-to-rule-them-all-15348/ … via @ TodayCrypto	SimonCocking	0	1	1529059854	1007576176313987072	https://twitter.com/SimonCocking/status/1007576176313987072			@	0.31	0.0	0
	CryptoMillionsLotto Announces its Upcoming ICO Pre-Sale https://irishtechnews.ie/cryptomillionslotto-announces-its-upcoming-ico-pre-sale/ … via @ irish_technews	SimonCocking	0	1	1529059430	1007574394162597889	https://twitter.com/SimonCocking/status/1007574394162597889			@	0.10	0.0	0
	Where to Open a Business Bank Account in Europe as a # Crypto # Startup? - https://www.linkedin.com/pulse/where-open-business-bank-account-europe-crypto-mark-van-rijmenam/ … # FinTech # Blockchain	VanRijmenam	0	1	1529093088	1007715569146171392	https://twitter.com/VanRijmenam/status/1007715569146171392		# # # #		0.29	0.0	0
	Only three days left to change the world ... and come and work in our shiny new @ BlockpassIDLab ...https://www.jobs.ac.uk/job/BJS056/up-to-five-funded-phd-studentships-in-blockchain-identity-and-cryptography/ …	billatnapier	4	2	1529060279	1007577955365736448	https://twitter.com/billatnapier/status/1007577955365736448			@	0.05	0.0	0
	Watch out for those crypto currency clonerspic.twitter.com/EoChBakbNU	billatnapier	8	0	1529049947	1007534622580903936	https://twitter.com/billatnapier/status/1007534622580903936				0.00	0.0	0
ethereum 	I agree. The SEC would open a can of worms if it went after Ethereum Foundation members now. (I hear champagne pops in Brooklyn). But also a clear message to anyone going forward: until you've got network relevance, your token offering is of a security. You have to register. No?	mikejcasey	6	0	1529027950	1007442358206652416	https://twitter.com/mikejcasey/status/1007442358206652416				0.00	0.1865	0
bitcoin 	Venezuela escalates financial surveillancehttps://news.bitcoin.com/venezuela-monitoring-bank-accounts-crypto-transactions/?utm_source=Venezuela%20Begins%20Monitoring%20Bank&utm_medium=telegram&utm_campaign=Telegram%20Channel …	jonmatonis	4	4	1529060430	1007578590559563776	https://twitter.com/jonmatonis/status/1007578590559563776				0.25	0.0	0
	"Google targeted ad delivered to me: ""Launch Your Crypto Fund Today"" Sigh."	jgarzik	18	2	1529013733	1007382728982122496	https://twitter.com/jgarzik/status/1007382728982122496				0.17	0.0258	0
bitcoin 	Alright, well, good to know he's taking a day off. # bitcoinpic.twitter.com/hMA8kHQt9B	bitentrepreneur	5	0	1529083228	1007674210674790400	https://twitter.com/bitentrepreneur/status/1007674210674790400		#		0.50	0.3592	0
bitcoin 	Steve Bannon Enters Crypto Market, Calls Bitcoin Disruptive Populism And Revolutionary https://blockmanity.com/news/steve-bannon-enters-crypto-market-calls-bitcoin-disruptive-populism-revolutionary/ …pic.twitter.com/6C2ESakvMi	SunnyStartups	14	4	1529048282	1007527638410452992	https://twitter.com/SunnyStartups/status/1007527638410452992				0.17	-0.3182	0
bitcoin 	Tim Draper Confesses He is Buying More Bitcoins https://usethebitcoin.com/tim-draper-confesses-he-is-buying-more-bitcoins/ …pic.twitter.com/CGyn78qqaS	SunnyStartups	146	46	1529045942	1007517824863166465	https://twitter.com/SunnyStartups/status/1007517824863166465				0.33	0.0	0
bitcoin 	William Shatner's new enterprise: A solar-powered bitcoin mining farm in southern Illinois http://www.chicagotribune.com/news/ct-met-shatner-bitcoin-solar-panels-illinois-20180613-story.html …pic.twitter.com/BvHTRMYh2Z	SunnyStartups	8	2	1529016003	1007392249314004992	https://twitter.com/SunnyStartups/status/1007392249314004992				-0.08	0.0	0
	Announcement: You'll see me in fewer bylines in the next couple of months as I'll be writing... a book! on crypto! Beyond excited to be working with @ HarperCollins and so grateful for all the support from @ business. Pic from my see-u-later drinks with MLIV bloggers pic.twitter.com/9SXqBypGYu	CamiRusso	111	9	1529081140	1007665456218542081	https://twitter.com/CamiRusso/status/1007665456218542081			@ @	-0.02	0.2097	0
bitcoin 	Indeed. @ jerrybrito the contortions gone to in the last paragraph of that article to argue that Bitcoin wasn't for all intents and purposes under one person's control during its inception is a little ridiculous.	neha	4	1	1529084117	1007677939452964864	https://twitter.com/neha/status/1007677939452964864			@	0.09	-0.2792	0
bitcoin 	That doesn't seem like a balanced argument. Bitcoin is a very clear contract: you know exactly what you are buying. The source code is available. And it works as money. It was used to fund Wikileaks when the world blockaded their banking infrastructure. Censorship-resistant cash	leashless	0	0	1529090567	1007704994613747712	https://twitter.com/leashless/status/1007704994613747712				0.18	-0.0199	0
bitcoin 	The absence of central authorities in blockchain is huge - the ability to convene essentially political power without central authorities is entirely new. Bitcoin really is a new class of entities: opt in software defined law, and monetary policy.	leashless	0	0	1529048305	1007527735571439616	https://twitter.com/leashless/status/1007527735571439616				0.31	0.2787	0
	SEC announces cryptocurrency ether is not a securityhttps://www.yahoo.com/amphtml/finance/news/sec-announces-ether-not-security-162658147.html?guccounter=1 …	tonilanec	3	0	1529025281	1007431164632674304	https://twitter.com/tonilanec/status/1007431164632674304				0.12	-0.2584	0
